participantID,modelType,lambda,sigma_av_a_low,sigma_av_v_low,p_c,sigma_av_a_high,sigma_av_v_high,AIC,BIC
mh,gaussian_contextualPrior,0.23969052263400953,0.3232905583720275,0.10000011188007185,0.4632624681348636,1.056258490551263,0.013756323623238129,2478.5901695196453,2512.242776933445
mh,gaussian_sharedPrior,0.19618973168348364,0.295094694304189,0.2352748060838985,0.8560984158999584,0.5603303542009963,0.00018002967209440612,2478.8820835696015,2508.328115056676
dt,lognorm_sharedPrior,0.1584337233332917,0.2790213861782103,0.6506923848669975,0.9634367406768725,0.5794953839853406,0.11450287305051461,2559.1959145667893,2591.9444727271502
dt,gaussian_sharedPrior,0.24353455135149032,0.10966669006875229,0.2571552248473017,0.9999939025877999,0.28387744362087686,0.16227475693926863,2549.4868147889283,2578.141803179244
dt,lognorm_contextualPrior,0.22359782521125454,0.23757272285511133,0.44810524104264904,0.6832237161829078,0.5715684437984601,0.13772037537346477,2556.453774131786,2589.202332292147
dt,logLinearMismatch_contextualPrior,0.24964634208782288,0.20589090115719882,0.461652763952465,0.5823188994387369,0.49106363521094865,0.2102948994834975,2551.047821499688,2583.796379660049
dt,logLinearMismatch_sharedPrior,0.249945111409761,0.22287116821855302,0.49278871141374114,0.7245345564025455,0.4870891749858856,0.16149753422942012,2552.01621695523,2580.671205345546
dt,gaussian_contextualPrior,0.24999992795294473,0.11273567083143687,0.23035922405994363,0.4927567206601538,0.27793379252121664,0.18062484251919386,2550.685233874025,2583.433792034386
oy,gaussian_sharedPrior,0.12308930158615113,0.14295337796211238,0.4383295226097107,0.9987698292434216,0.1986233520507813,0.12557230293750762,2337.978295953388,2369.5709067297744
oy,logLinearMismatch_sharedPrior,0.10060624757379628,0.27864982843770125,0.8897585590980452,0.9615727436767517,0.38115527432237284,0.11058047751967023,2328.7658788476087,2360.358489623995
oy,lognorm_contextualPrior,0.08018575164015793,0.2874007381091955,0.7725047266383889,0.17143969907583118,0.4164706354965733,0.07745594623606138,2328.8497450882423,2364.955585975541
oy,lognorm_sharedPrior,0.07729716078353022,0.2842735608532394,0.9455091825498267,0.9999462485879687,0.40781913387738317,0.11699240564868205,2327.5212110005305,2359.1138217769167
oy,gaussian_contextualPrior,0.14532016977843795,0.12992313080509743,0.3561345452652739,0.09190757763483925,0.18725384971991843,0.1369333601559603,2341.405243116312,2377.5110840036104
oy,logLinearMismatch_contextualPrior,0.07444109437574298,0.3075415780540424,0.9373682531340818,0.0011942064424620424,0.4028701543726493,0.08164340877319773,2327.540053994517,2363.645894881816
qs,logLinearMismatch_sharedPrior,0.052593416454215,0.21522231815015402,0.8996576332726546,0.30278172969888717,0.6382470994557662,0.08958624273357145,2495.5617159811054,2524.8795648426835
qs,lognorm_contextualPrior,0.0593391828238964,0.2289404061436653,0.684689797759056,0.5025329270213842,0.7136394667625428,0.08536486886441708,2499.8291020551587,2533.3352150398196
qs,gaussian_contextualPrior,0.09581598624417893,0.10000009387247699,0.2705713765084874,0.6142678204472409,0.28697597445221623,0.18178955008443154,2525.619713656928,2559.125826641589
qs,gaussian_sharedPrior,0.09290477857907717,0.10802842661534662,0.3957451553256033,0.5576572485540272,0.30868603026232455,0.1831907960249964,2526.077451464292,2555.3953003258703
qs,logLinearMismatch_contextualPrior,0.06406789770742308,0.21633203182844224,1.0584669616048903,0.9978899640247814,0.6390496591512056,0.08212742919472475,2500.6136744022465,2534.1197873869073
qs,lognorm_sharedPrior,0.051966123309424,0.22075152599585635,0.708324893772342,0.35837625021210473,0.6822959284855097,0.09582734815836176,2497.2445187767185,2526.5623676382966
ml,logLinearMismatch_sharedPrior,0.2495213642716408,0.42345258831977844,0.49574900269508365,0.9999950339436532,0.7916921997070313,1.387894153594138e-05,2532.7884021531663,2563.5785666949128
ml,gaussian_contextualPrior,0.111901193857193,0.20966808319091795,0.2019730472564697,0.17194784064292906,0.41420650482177734,8.606314659118097e-05,2490.2016459901884,2525.39040546647
ml,lognorm_sharedPrior,0.25,0.38309549808502197,0.5121628046035767,0.999999976181984,0.7672549057006837,0.008141446113586415,2512.9688122418793,2543.7589767836257
ml,logLinearMismatch_contextualPrior,0.2127245662690257,0.45246540042251576,0.40692172554729034,0.0010062330236396688,1.1081506700720638,0.0,2521.0216778069,2556.2104372831814
ml,lognorm_contextualPrior,0.21787116397172213,0.5036105497181415,0.30384154152125115,0.17551211164519193,1.2935303336381914,6.692484021186829e-06,2507.436969878892,2542.6257293551735
ml,gaussian_sharedPrior,0.08637082803693835,0.22707391503783414,0.2767933413152085,0.7951061036947891,0.362781822568063,0.00021922969178475582,2503.121144900565,2533.9113094423114
HH,logLinearMismatch_contextualPrior,0.0001526474952697754,0.11491968810558317,0.2882290166616439,0.468108293569088,0.7087183475494385,0.0020505100488662636,1759.8008590526445,1792.0847105128425
HH,lognorm_contextualPrior,0.0012569681132845179,0.10924232286077307,0.2796809002582085,0.9865902515485606,0.43407426595222204,0.011704888185249729,1751.838068348052,1784.1219198082501
HH,gaussian_sharedPrior,0.0,0.1,0.13167933184204228,0.8391276389679044,0.41298827133636223,0.0,1832.361357043629,1860.6097270713021
HH,gaussian_contextualPrior,1.6806045118750168e-05,0.10000000018758326,0.10248121723319847,0.3543075521632143,0.3733706745464588,0.0,1814.0143833537509,1846.298234813949
HH,lognorm_sharedPrior,1.7099208992010784e-05,0.11452394397929311,0.2762975070604614,0.9428468398948087,0.7520712530120637,0.023022657098846364,1749.7696826834863,1778.0180527111595
HH,logLinearMismatch_sharedPrior,0.00023619498861079946,0.11425733200136168,0.28248452273968727,0.874165944751637,0.6515430171205663,0.027148019363448836,1763.091144734856,1791.3395147625292
as,gaussian_contextualPrior,0.02187144746421836,0.13171528641832986,0.2186862988461507,0.44022085592001675,0.37670893007889394,0.05473590066976612,2255.9647265178874,2288.343703950258
as,gaussian_sharedPrior,0.003926116228103627,0.1363117790222168,0.21517887115478518,0.5784573668956757,0.3720173263549805,0.04600045680999755,2255.098023200974,2283.429628454298
as,lognorm_contextualPrior,0.03866479227490344,0.2521736449576383,0.3540822553034467,0.2136477974199677,0.7602093844603224,0.08188730897384175,2253.807140956918,2286.186118389288
as,logLinearMismatch_contextualPrior,0.05518783522420563,0.2285181885072961,0.5437176029314286,0.7373118608213496,0.5752601276338101,0.10173896683263592,2256.174856089149,2288.5538335215197
as,logLinearMismatch_sharedPrior,0.0654298513836693,0.2379038127046078,0.5508434740593657,0.7643451888463229,0.599793801791966,0.07340162400505505,2256.4209158611247,2284.752521114449
as,lognorm_sharedPrior,0.05194668332726628,0.24830571154514414,0.47943866246246586,0.6438909946637792,0.6815008577266894,0.09465915594401046,2253.6057912188635,2281.9373964721876
ln,lognorm_contextualPrior,0.009139223249803763,0.20136078737094065,0.5469095479592214,0.6592694909551065,0.44648145176470283,0.00013377882569329258,2162.564832731021,2195.9551215622364
ln,logLinearMismatch_sharedPrior,0.00010030623525381088,0.19444156095385545,0.7227109417319298,0.0010000000000000564,0.4346919190883637,0.00017001479864120483,2162.100610765013,2191.3171134923264
ln,gaussian_contextualPrior,0.017631597153916795,0.10000007303037362,0.3014361538363573,0.9989986911248833,0.24124015298009904,7.419931762064902e-08,2184.3286827312613,2217.718971562477
ln,gaussian_sharedPrior,0.05100585147738457,0.10000626187771555,0.19898735051974648,0.2152344288256951,0.23502841934561736,0.0,2180.8800576279687,2210.0965603552822
ln,logLinearMismatch_contextualPrior,0.0,0.19633621811866758,0.7332161857187747,0.9959849286526441,0.4523711657524109,5.7575851678842715e-05,2166.723907658396,2200.1141964896115
ln,lognorm_sharedPrior,0.0,0.21241049796342848,0.10001488059759134,0.0672292313948274,0.5521110606193542,0.0,2160.941009789416,2190.1575125167296
ip,logLinearMismatch_contextualPrior,0.15831147648192995,0.22309503708938105,1.1499534868974772,0.0010951214232067796,0.5456982645992321,0.21749533716375707,2401.618753947144,2435.2228273394853
ip,gaussian_contextualPrior,0.24815387912021836,0.1000017993780784,0.4162045704240154,0.0010000000000000009,0.27966603112174204,0.24940763096710727,2448.483556359276,2482.0876297516174
ip,lognorm_contextualPrior,0.13263455033302307,0.23500514268875117,1.0251833033561706,0.0010000000000000009,0.5898493957519532,0.1910637080669403,2401.580307063411,2435.1843804557525
ip,lognorm_sharedPrior,0.15411990284919738,0.229946231842041,1.140194368362427,0.9360814243078233,0.5956486320495606,0.1886644572019577,2400.910228362289,2430.313792580588
ip,gaussian_sharedPrior,0.24719846546649932,0.10013491630554194,0.4218256235122681,0.9784029127180577,0.31865159988403324,0.24513055980205536,2447.3654616813315,2476.7690258996304
ip,logLinearMismatch_sharedPrior,0.1367870092391968,0.22704603195190431,1.3179201316833495,0.9999999047279359,0.5432545471191406,0.18274426460266113,2402.4373802433493,2431.840944461648
LN01,lognorm_contextualPrior,0.11943354449513208,0.3718345903536464,0.6419668813529642,0.9984139381821325,1.5178548229765148,0.00019539850009095416,1169.9087572158337,1200.2528660829068
LN01,logLinearMismatch_contextualPrior,0.0404959473761778,0.4027225849839373,0.7208947089746038,0.6639473582749577,1.481202317985444,1.518886196549829e-05,1183.654268888076,1213.9983777551492
LN01,gaussian_contextualPrior,7.459908374157775e-05,0.19483789438372578,0.18706122101639377,0.27089236156579155,0.7570296861244514,6.55285380443682e-07,1148.6973055427932,1179.0414144098663
LN01,logLinearMismatch_sharedPrior,0.11352187782758846,0.3699493958009407,0.7010275219206232,0.9913408940377937,1.600212190328166,1.129751035477966e-05,1178.5532106883927,1205.1043059470817
LN01,lognorm_sharedPrior,0.04631990195803154,0.4359284143702098,0.7647211457386585,0.9999237274679058,1.6983889399457257,0.00012761030802721507,1172.3535803287361,1198.9046755874251
LN01,gaussian_sharedPrior,0.06818589104805142,0.17212962893769146,0.3790975129045546,0.9999999999069609,0.5219413833320141,0.00014635145198553523,1147.7348859520987,1174.2859812107877
