participantID,modelType,fittedParams,AIC,BIC,logLikelihood,n_conditions,delta_AIC
mt,logLinearMismatch_contextualPrior,"[0.03333685565157793, 0.1576172737026354, 0.3959259077458409, 0.8553504647667752, 0.5178268876019865, 0.10864599672786426, 0.22265435711597092, 0.7432137011985178]",2203.3961469344763,2234.4404108256817,-1093.6980734672381,358,5.467737207709888
mt,gaussian_sharedPrior,"[0.025978732408930227, 0.1, 0.16197283640036397, 0.700037410072147, 0.29276007230233514, 0.10173618541414271, 0.17429549177995796]",2215.3958216123033,2242.5595525171084,-1100.6979108061516,358,17.467411885536876
mh,logLinearMismatch_sharedPrior,"[0.1679772521587438, 0.4841534126654733, 0.4692945398576558, 0.9602992045640306, 0.8472761832084507, 5.51058285054723e-05, 0.23464036119694356]",2427.151856980085,2456.5978884671595,-1206.5759284900425,496,1.7690483030942232
mh,lognorm_contextualPrior,"[0.16463719606399535, 0.5204978156089782, 0.44239670991897573, 0.5613318871974945, 0.7486612319946289, 0.0, 0.2282811164855957, 0.96943064661026]",2425.382808676991,2459.0354160907905,-1204.6914043384954,496,0.0
mh,logLinearMismatch_contextualPrior,"[0.1280237752944231, 0.5584981090133078, 0.4617022805544547, 0.10119457374834456, 0.9451248225197196, 0.001627977832686145, 0.19680421582888813, 0.9951891854759305]",2429.608610235547,2463.2612176493467,-1206.8043051177735,496,4.225801558556213
mh,lognorm_sharedPrior,"[0.18463516235351562, 0.48277618408203127, 0.4382550048828125, 0.7970141021728516, 0.82729248046875, 4.920959472655417e-05, 0.25]",2428.01972130817,2457.4657527952445,-1207.009860654085,496,2.636912631179257
mh,gaussian_contextualPrior,"[0.23969052263400953, 0.3232905583720275, 0.10000011188007185, 0.4632624681348636, 1.056258490551263, 0.013756323623238129, 0.2488343884469032, 0.7120626418455911]",2478.5901695196453,2512.242776933445,-1231.2950847598227,496,53.20736084265445
mh,gaussian_sharedPrior,"[0.19618973168348364, 0.295094694304189, 0.2352748060838985, 0.8560984158999584, 0.5603303542009963, 0.00018002967209440612, 0.2499439440913534]",2478.8820835696015,2508.328115056676,-1232.4410417848007,496,53.49927489261063
dt,lognorm_sharedPrior,"[0.1584337233332917, 0.2790213861782103, 0.6506923848669975, 0.9634367406768725, 0.5794953839853406, 0.11450287305051461, 0.09609558479278349, 0.9941893054099288]",2559.1959145667893,2591.9444727271502,-1271.5979572833946,443,9.709099777860956
dt,gaussian_sharedPrior,"[0.24353455135149032, 0.10966669006875229, 0.2571552248473017, 0.9999939025877999, 0.28387744362087686, 0.16227475693926863, 0.15927864507666528]",2549.4868147889283,2578.141803179244,-1267.7434073944642,443,0.0
dt,lognorm_contextualPrior,"[0.22359782521125454, 0.23757272285511133, 0.44810524104264904, 0.6832237161829078, 0.5715684437984601, 0.13772037537346477, 0.16932424381557212, 0.6898008415440389]",2556.453774131786,2589.202332292147,-1270.226887065893,443,6.966959342857535
dt,logLinearMismatch_contextualPrior,"[0.24964634208782288, 0.20589090115719882, 0.461652763952465, 0.5823188994387369, 0.49106363521094865, 0.2102948994834975, 0.21331588360333242, 0.4321262568479165]",2551.047821499688,2583.796379660049,-1267.523910749844,443,1.5610067107595569
dt,logLinearMismatch_sharedPrior,"[0.249945111409761, 0.22287116821855302, 0.49278871141374114, 0.7245345564025455, 0.4870891749858856, 0.16149753422942012, 0.20837980976793916]",2552.01621695523,2580.671205345546,-1269.008108477615,443,2.5294021663016792
