,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard
96,0.5003,0.7504,1,0.567,0.4336,0.517,96,2.0683,-0.9,-0.4503,0.0504,5,lapse_rate,2.0,True,0.383,0,False,right,0.05,0.5646,0.6144,0.0498,1.1312,1.6314,0.5003
97,0.5003,0.1001,1,0.4503,0.4919,0.6921,97,2.9513,0.6262,0.3168,0.8167,5,2D1U,2.0,False,0.424,8,True,right,-0.05,0.445,1.2616,0.8166,1.953,2.4532,0.5002
98,0.5003,0.7504,2,0.617,0.5003,0.617,98,2.8349,0.2044,0.1001,0.6003,5,3D1U,2.0,True,0.927,3,True,right,0.0,1.7311,2.3311,0.5999,0.6146,1.1149,0.5003
99,0.5003,0.1001,2,0.5086,0.4169,0.5086,99,2.8854,0.9,0.4503,0.951,5,lapse_rate,1.0,False,0.511,0,False,left,0.05,1.5159,2.4658,0.9499,0.5078,1.0075,0.4997
100,0.5003,0.7504,1,0.4419,0.5587,0.8755,100,2.8096,-0.1351,-0.0667,0.4332,5,2U1D,2.0,True,0.242,4,False,right,-0.05,0.4413,0.8746,0.4334,1.7499,2.2496,0.4997
101,0.5003,0.7504,1,0.4753,0.6337,0.8088,101,2.7349,-0.3622,-0.1834,0.3168,5,3U1D,2.0,True,0.159,2,True,right,0.0,0.4703,0.7872,0.3169,1.5957,2.0954,0.4998
102,0.5003,0.1001,2,0.4669,0.4753,0.7171,102,3.0188,0.716,0.3585,0.8592,5,2D1U,2.0,True,0.162,8,False,right,0.05,1.6815,2.5395,0.858,0.4647,0.9649,0.5002
103,0.5003,0.1001,2,0.4753,0.5003,0.5253,103,2.9513,0.9,0.4503,0.9501,5,lapse_rate,1.0,False,0.556,0,False,left,-0.05,1.495,2.4451,0.9501,0.4701,0.97,0.4999
104,0.5003,0.1001,2,0.4503,0.4086,0.7754,104,2.6099,-0.0453,-0.025,0.4753,5,2U1D,2.0,False,0.641,4,False,right,0.0,1.7208,2.196,0.4752,0.4461,0.9457,0.4996
105,0.5003,0.1001,1,0.6087,0.4419,0.7671,105,2.9188,0.2044,0.1001,0.6008,5,3D1U,2.0,False,0.161,3,True,right,0.05,0.6061,1.2061,0.6,1.9729,2.473,0.5001
106,0.5003,0.7504,1,0.4753,0.4002,0.5086,106,2.2008,-0.3622,-0.1834,0.3164,5,3U1D,2.0,True,1.0,2,True,right,-0.05,0.4693,0.7861,0.3168,1.2944,1.7946,0.5002
107,0.5003,0.7504,2,0.6087,0.5753,0.8088,107,3.1435,0.2942,0.1501,0.6504,5,3D1U,1.0,False,0.184,3,False,left,0.0,1.9137,2.5636,0.6499,0.6053,1.1052,0.4999
108,0.5003,0.7504,1,0.4919,0.6087,0.667,108,2.5852,-0.3622,-0.1834,0.3173,5,3U1D,1.0,False,0.233,2,True,left,0.05,0.4865,0.8035,0.317,1.4699,1.9703,0.5003
109,0.5003,0.1001,1,0.517,0.4336,0.7421,109,3.0514,0.716,0.3585,0.8584,5,2D1U,1.0,True,0.159,8,False,left,-0.05,0.5118,1.3704,0.8586,2.112,2.6121,0.5001
