,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue,VisualPSE
469,0.49958,1.2,1,0.26644,0.39966,0.58284,469,2.35634,0.21,0.10824,0.60782,5,2D1U,1.0,True,0.368,60,False,left,-0.44962,0.1647,0.9728,0.808,1.6816,1.9314,0.2498,A,0.2
470,0.49958,0.1,1,0.52456,0.3164,1.15735,470,2.82261,-0.35,-0.17485,0.32472,5,1D2U,1.0,False,0.333,48,True,left,0.44962,0.4132,0.9544,0.5412,1.78,2.9467,1.1667,A,0.22
471,0.49958,0.1,1,0.27477,0.21648,0.49958,471,1.79848,-0.39,-0.1915,0.30807,5,1D2U,2.0,True,1.383,49,True,right,-0.44962,0.1679,0.6928,0.525,1.3094,1.5761,0.2667,A,0.22
472,0.49958,1.2,1,0.55786,0.35803,0.95752,472,2.95583,0.17,0.08326,0.58284,5,2D1U,2.0,False,1.057,61,True,right,0.44962,0.4608,1.2441,0.7833,1.8777,3.0275,1.1498,A,0.2
473,0.49958,1.2,2,0.33305,0.42464,0.51623,473,2.38132,0.21,0.10824,0.60782,5,2D1U,2.0,True,0.115,62,True,right,-0.44962,1.1221,1.9305,0.8084,0.456,0.7051,0.2491,A,0.2
474,0.49958,0.1,2,0.59117,0.39966,0.77434,474,2.87257,0.21,0.10824,0.60782,5,2D1U,1.0,False,0.958,62,True,left,0.44962,2.0901,2.9152,0.825,0.2573,1.4238,1.1665,A,0.22
475,0.49958,0.1,2,0.21648,0.36636,0.70773,475,2.09822,-0.39,-0.1915,0.30807,5,1D2U,1.0,True,0.44,49,True,left,-0.44962,1.1952,1.7205,0.5253,0.3286,0.595,0.2664,A,0.22
476,0.49958,1.2,2,0.54953,0.33305,0.78267,476,2.7893,0.25,0.12489,0.62447,5,2D1U,2.0,True,0.741,62,False,right,0.44962,2.0601,2.8926,0.8325,0.2263,1.3761,1.1498,A,0.2
477,0.49958,1.2,2,0.26644,0.42464,0.44962,477,1.965,-0.35,-0.17485,0.32472,5,1D2U,2.0,False,1.074,50,True,right,-0.44962,0.9892,1.5141,0.525,0.389,0.6388,0.2498,A,0.2
478,0.49958,0.1,2,0.41631,0.43297,0.8243,478,2.48123,-0.39,-0.1915,0.30807,5,1D2U,1.0,True,2.075,51,True,left,0.44962,1.9617,2.4869,0.5252,0.0786,1.2451,1.1664,A,0.22
