,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityCue
18,0.49721,1.2,2,0.3729,0.3729,0.72923,18,2.66833,0.39,0.19888,0.69609,5,2D1U,2.0,True,0.208,1,True,right,0.2486,1.7958,2.4627,0.6669,0.2127,1.0289,0.8161,A
19,0.49721,1.2,1,0.25689,0.27346,0.66294,19,1.99711,-0.39,-0.19888,0.30661,5,2U1D,1.0,False,0.325,1,True,left,0.0,0.2263,0.6015,0.3752,1.2349,1.8014,0.5665,A
20,0.49721,1.2,2,0.41434,0.24032,0.45577,20,2.30373,0.39,0.19888,0.69609,5,2D1U,2.0,True,0.11,1,True,right,-0.16574,1.3602,2.0267,0.6665,0.468,0.8678,0.3998,A
21,0.49721,0.1,2,0.42262,0.24032,0.6878,21,2.75121,0.8,0.39776,0.90326,5,lapse_rate,2.0,True,0.291,0,False,right,0.2486,1.7352,2.5027,0.7676,0.4358,0.9101,0.4743,A
22,0.49721,0.1,2,0.34804,0.41434,0.43091,22,1.94739,-0.48,-0.24032,0.25689,5,2U1D,1.0,True,0.225,1,False,left,0.0,1.2721,1.3888,0.1167,0.4801,0.7045,0.2243,A
23,0.49721,1.2,1,0.28175,0.23203,0.87011,23,2.78436,0.8,0.39776,0.90326,5,lapse_rate,2.0,False,0.734,0,False,right,-0.16574,0.2528,1.2279,0.9751,2.1532,2.5534,0.4002,A
24,0.49721,0.1,1,0.29004,0.21546,0.52207,24,1.78167,-0.48,-0.24032,0.25689,5,2U1D,1.0,False,0.772,1,False,left,0.2486,0.422,0.4054,-0.0166,0.9398,1.4148,0.475,A
25,0.49721,0.1,2,0.27346,0.20717,0.82868,25,2.47775,0.336,0.16574,0.67123,5,2D1U,2.0,True,0.3,2,True,right,0.0,1.5966,2.1303,0.5336,0.4052,0.63,0.2248,A
26,0.49721,1.2,2,0.38948,0.20717,0.50549,26,1.81481,-0.57,-0.28175,0.21546,5,2U1D,1.0,True,0.413,1,False,left,-0.16574,1.3809,1.5642,0.1834,0.4383,0.8382,0.3999,A
27,0.49721,1.2,1,0.4392,0.30661,0.61322,27,2.52747,0.336,0.16574,0.67123,5,2D1U,2.0,False,0.184,2,True,right,0.2486,0.4089,1.1513,0.7424,1.6096,2.4254,0.8157,A
