,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
54,54,0.50017,1.2,2,0.32511,0.32511,0.63355,54,2.47585,0.38,0.19173,0.69191,5,3D1U,2.0,True,0.329,0,False,right,0.0,1.4589,2.1498,0.6909,0.3244,0.8254,0.501,A
55,55,0.50017,0.1,1,0.20841,0.38347,0.43348,55,1.73394,-0.58,-0.29177,0.20841,5,1D2U,2.0,True,0.259,2,False,right,0.0,0.2081,0.4168,0.2086,0.8498,1.3509,0.5011,A
56,56,0.50017,0.1,2,0.42515,0.25842,0.58353,56,1.81729,-0.9,-0.45016,0.05002,5,lapse_rate,1.0,True,0.342,0,False,left,0.0,1.5106,1.5604,0.0497,0.4276,0.9271,0.4996,A
57,57,0.50017,1.2,2,0.41681,0.35846,0.43348,57,1.94233,-0.54,-0.26676,0.23341,5,1D2U,2.0,False,0.424,2,False,right,0.0,1.348,1.5811,0.2332,0.4135,0.9146,0.5011,V
58,58,0.50017,0.1,2,0.29177,0.29177,0.4835,58,2.25912,0.38,0.19173,0.69191,5,3D1U,2.0,True,0.386,0,False,right,0.0,1.2768,1.9689,0.6921,0.2937,0.793,0.4993,A
59,59,0.50017,1.2,2,0.21674,0.31678,0.64189,59,1.80896,-0.74,-0.36679,0.13338,5,1D3U,1.0,True,0.674,1,False,left,0.0,1.3532,1.4871,0.1339,0.2139,0.7122,0.4983,V
60,60,0.50017,0.1,1,0.3001,0.24175,0.4835,60,1.57554,-0.9,-0.45016,0.05002,5,lapse_rate,2.0,True,0.628,0,False,right,0.0,0.2982,0.3482,0.0499,0.8316,1.3326,0.501,A
61,61,0.50017,0.1,2,0.27509,0.35012,0.67523,61,2.56754,0.54,0.26676,0.76693,5,2D1U,2.0,True,0.377,0,False,right,0.0,1.453,2.2199,0.7669,0.2778,0.7782,0.5004,A
62,62,0.50017,1.2,2,0.22508,0.32511,0.55853,62,1.8173,-0.58,-0.29177,0.20841,5,1D2U,1.0,True,0.35,3,True,left,0.0,1.2789,1.4865,0.2076,0.2205,0.7208,0.5003,A
63,63,0.50017,0.1,2,0.35846,0.40014,0.63355,63,2.0257,-0.74,-0.36679,0.13338,5,1D3U,1.0,True,0.228,1,False,left,0.0,1.4895,1.6231,0.1336,0.3553,0.8562,0.5009,A
64,64,0.50017,1.2,2,0.30844,0.44182,0.45849,64,2.47585,0.54,0.26676,0.76693,5,2D1U,2.0,True,0.383,0,False,right,0.0,1.2609,2.0274,0.7666,0.3028,0.803,0.5001,V
65,65,0.50017,1.2,2,0.41681,0.44182,0.60021,65,2.90934,0.9,0.45016,0.95033,5,lapse_rate,2.0,True,0.345,0,False,right,0.0,1.5119,2.4626,0.9507,0.4128,0.9129,0.5,V
66,66,0.50017,0.1,1,0.34178,0.26676,0.60021,66,2.35914,0.3,0.15005,0.65022,5,3D1U,1.0,True,0.416,1,True,left,0.0,0.3436,0.9934,0.6498,1.5936,2.0941,0.5006,V
67,67,0.50017,1.2,2,0.31678,0.25842,0.69191,67,1.91733,-0.7,-0.35012,0.15005,5,1D3U,2.0,False,0.46,2,True,right,0.0,1.5119,1.6607,0.1487,0.3195,0.8192,0.4997,V
68,68,0.50017,0.1,2,0.26676,0.23341,0.8753,68,2.08405,-0.58,-0.29177,0.20841,5,1D2U,1.0,True,0.318,3,True,left,0.0,1.6396,1.8476,0.208,0.2645,0.7641,0.4996,V
69,69,0.50017,1.2,1,0.32511,0.44182,0.55019,69,2.46751,0.3,0.15005,0.65022,5,3D1U,2.0,False,0.39,1,True,right,0.0,0.3226,0.9734,0.6508,1.5233,2.0251,0.5018,A
70,70,0.50017,0.1,2,0.42515,0.29177,0.90031,70,2.85099,0.46,0.23341,0.73359,5,2D1U,2.0,True,0.359,1,True,right,0.0,1.8274,2.561,0.7336,0.4276,0.9276,0.5,V
71,71,0.50017,1.2,2,0.43348,0.38347,0.7586,71,3.02605,0.9,0.45016,0.95033,5,lapse_rate,2.0,True,0.228,0,False,right,0.0,1.6882,2.6386,0.9504,0.4299,0.9302,0.5003,V
72,72,0.50017,0.1,1,0.44182,0.25842,0.43348,72,1.68391,-0.9,-0.45016,0.05002,5,lapse_rate,1.0,False,0.507,0,False,left,0.0,0.4442,0.4934,0.0491,0.9266,1.4271,0.5005,V
73,73,0.50017,1.2,1,0.32511,0.31678,0.85029,73,2.65925,0.34,0.16672,0.6669,5,3D1U,2.0,False,0.99,2,True,right,0.0,0.3263,0.9938,0.6676,1.8437,2.3431,0.4994,A
74,74,0.50017,0.1,2,0.25842,0.34178,0.74192,74,2.57588,0.46,0.23341,0.73359,5,2D1U,2.0,True,0.379,1,True,right,0.0,1.5024,2.2365,0.7341,0.2607,0.7615,0.5008,V
75,75,0.50017,1.2,1,0.23341,0.33345,0.5752,75,1.77561,-0.74,-0.36679,0.13338,5,1D3U,2.0,True,0.667,3,True,right,0.0,0.2311,0.3641,0.133,0.9392,1.4398,0.5006,A
76,76,0.50017,0.1,2,0.27509,0.3918,0.80028,76,2.20075,-0.54,-0.26676,0.23341,5,1D2U,1.0,True,0.298,4,True,left,0.0,1.5743,1.8073,0.233,0.2737,0.7747,0.501,A
77,77,0.50017,1.2,2,0.34178,0.37513,0.65856,77,2.56755,0.38,0.19173,0.69191,5,2D1U,2.0,True,0.301,1,False,right,0.0,1.5022,2.1939,0.6916,0.344,0.8444,0.5005,A
78,78,0.50017,1.2,2,0.25009,0.30844,0.89197,78,2.00069,-0.9,-0.45016,0.05002,5,lapse_rate,2.0,False,0.487,0,False,right,0.0,1.6391,1.6886,0.0495,0.247,0.7466,0.4995,A
79,79,0.50017,0.1,2,0.20007,0.31678,0.8753,79,2.0257,-0.74,-0.36679,0.13338,5,1D3U,1.0,True,0.376,3,True,left,0.0,1.5752,1.7086,0.1334,0.2002,0.7004,0.5002,V
80,80,0.50017,1.2,2,0.35846,0.40847,0.68357,80,2.64258,0.38,0.19173,0.69191,5,3D1U,2.0,True,0.464,2,False,right,0.0,1.5372,2.2285,0.6913,0.3543,0.8538,0.4995,A
