,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
37,37,0.49922,1.2,1,0.27457,0.30785,0.52419,37,2.45451,0.69,0.34114,0.84868,5,2D1U,1.0,True,0.509,3,True,left,0.0,0.2838,1.1341,0.8503,1.6588,2.159,0.5001,V
38,38,0.49922,0.1,2,0.29121,0.39106,0.72387,38,2.17161,-0.474,-0.23297,0.26625,5,2U1D,1.0,True,0.359,2,True,left,0.0,1.5246,1.7908,0.2662,0.2998,0.799,0.4992,V
39,39,0.49922,1.2,1,0.35778,0.20801,0.89028,39,2.22986,-0.45,-0.22465,0.27457,5,3U1D,1.0,False,0.559,0,False,left,0.0,0.3674,0.6423,0.2749,1.5337,2.0339,0.5002,A
40,40,0.49922,0.1,1,0.29953,0.31618,0.84036,40,2.90382,0.9,0.4493,0.94853,5,lapse_rate,1.0,True,0.351,0,False,left,0.0,0.3042,1.254,0.9498,2.0958,2.5958,0.5,A
41,41,0.49922,0.1,1,0.23297,0.24961,0.70723,41,2.4129,0.45,0.22465,0.72387,5,3D1U,1.0,True,0.325,0,False,left,0.0,0.2419,0.9671,0.7252,1.6755,2.1759,0.5005,A
42,42,0.49922,1.2,2,0.33282,0.23297,0.68227,42,2.42123,0.35,0.17473,0.67395,5,3D1U,1.0,False,0.617,0,False,left,0.0,1.5256,2.2012,0.6756,0.3428,0.843,0.5003,A
43,43,0.49922,0.1,1,0.4077,0.27457,0.71555,43,2.16329,-0.474,-0.23297,0.26625,5,2U1D,2.0,True,0.533,2,True,right,0.0,0.4191,0.6858,0.2667,1.402,1.9025,0.5005,A
44,44,0.49922,1.2,2,0.43266,0.20801,0.63235,44,2.01353,-0.51,-0.25793,0.24129,5,3U1D,1.0,True,0.492,1,True,left,0.0,1.5763,1.8175,0.2412,0.4428,0.9427,0.4999,A
45,45,0.49922,0.1,2,0.35778,0.20801,0.58243,45,2.47116,0.654,0.3245,0.82372,5,2D1U,2.0,True,2.035,3,False,right,0.0,1.4507,2.2757,0.8251,0.3673,0.8667,0.4994,A
46,46,0.49922,0.1,2,0.34114,0.24961,0.68227,46,2.72077,0.9,0.4493,0.94853,5,lapse_rate,2.0,True,0.416,0,False,right,0.0,1.5334,2.4837,0.9503,0.3506,0.8511,0.5004,A
47,47,0.49922,1.2,1,0.21633,0.34114,0.76548,47,2.64589,0.654,0.3245,0.82372,5,2D1U,1.0,True,0.333,3,False,left,0.0,0.2214,1.0462,0.8248,1.8123,2.313,0.5007,V
48,48,0.49922,0.1,1,0.38274,0.20801,0.61571,48,1.94697,-0.51,-0.25793,0.24129,5,3U1D,2.0,True,0.443,1,True,right,0.0,0.3905,0.6325,0.242,1.2503,1.7489,0.4986,A
49,49,0.49922,1.2,2,0.4493,0.34946,0.67395,49,2.67916,0.41,0.20801,0.70723,5,3D1U,1.0,False,1.291,1,True,left,0.0,1.6294,2.3369,0.7076,0.4546,0.9548,0.5001,A
50,50,0.49922,0.1,1,0.24961,0.30785,0.857,50,2.19657,-0.438,-0.21633,0.28289,5,2U1D,1.0,False,0.583,2,False,left,0.0,0.2605,0.5437,0.2832,1.402,1.902,0.4999,A
51,51,0.49922,0.1,2,0.35778,0.27457,0.72387,51,1.90536,-0.9,-0.4493,0.04992,5,lapse_rate,1.0,True,0.409,0,False,left,0.0,1.5907,1.6405,0.0498,0.3656,0.8649,0.4993,A
52,52,0.49922,1.2,1,0.27457,0.21633,0.79876,52,2.03017,-0.51,-0.25793,0.24129,5,3U1D,2.0,True,0.534,1,True,right,0.0,0.278,0.5196,0.2415,1.3207,1.8207,0.4999,V
53,53,0.49922,0.1,2,0.4077,0.29121,0.87364,53,2.33802,-0.474,-0.23297,0.26625,5,2U1D,1.0,True,0.376,3,True,left,0.0,1.7869,2.0537,0.2668,0.4119,0.9127,0.5008,A
54,54,0.49922,0.1,2,0.19969,0.44098,0.75716,54,1.94697,-0.9,-0.4493,0.04992,5,lapse_rate,1.0,True,0.35,0,False,left,0.0,1.4683,1.5184,0.0502,0.2096,0.7101,0.5005,A
55,55,0.49922,1.2,2,0.44098,0.29953,0.80708,55,2.77901,0.47,0.23297,0.7322,5,3D1U,2.0,True,0.443,1,False,right,0.0,1.7605,2.493,0.7325,0.4523,0.9523,0.5,A
