Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,participantID
67,0.5,0.1,1,0.4,0.2667,0.8667,67,2.3001,-0.46,-0.2333,0.2667,5,1D2U,2.0,True,0.392,4,True,right,as
68,0.5,0.1,1,0.35,0.2833,0.5,68,2.2,0.14,0.0667,0.5667,5,3D1U,2.0,False,0.609,1,True,right,as
69,0.5,0.1,2,0.3167,0.45,0.6,69,2.0834,-0.58,-0.2833,0.2167,5,1D3U,1.0,True,0.583,1,False,left,as
70,0.5,0.1,2,0.2,0.3167,0.85,70,2.3167,-0.1,-0.05,0.45,5,2D1U,1.0,True,1.633,1,False,left,as
71,0.5,0.1,2,0.25,0.35,0.6833,71,1.8833,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.684,0,False,left,as
72,0.5,0.1,1,0.2167,0.3833,0.7167,72,2.2834,-0.06,-0.0333,0.4667,5,2D1U,1.0,False,0.458,2,True,left,as
73,0.5,0.1,1,0.45,0.3167,0.8167,73,2.3501,-0.46,-0.2333,0.2667,5,1D2U,1.0,False,0.576,4,True,left,as
74,0.5,0.1,2,0.2167,0.4333,0.8667,74,2.2667,-0.5,-0.25,0.25,5,1D2U,1.0,True,0.683,5,True,left,as
75,0.5,0.1,2,0.3667,0.2333,0.4667,75,1.7834,-0.58,-0.2833,0.2167,5,1D3U,1.0,True,0.708,1,False,left,as
76,0.5,0.1,1,0.45,0.2167,0.45,76,2.2,0.18,0.0833,0.5833,5,3D1U,2.0,False,0.525,2,True,right,as
77,0.5,0.1,1,0.2667,0.2833,0.5833,77,2.1,-0.06,-0.0333,0.4667,5,2D1U,2.0,True,1.258,2,True,right,as
78,0.5,0.1,2,0.3167,0.35,0.8833,78,2.6667,0.22,0.1167,0.6167,5,3D1U,2.0,True,0.483,2,False,right,as
79,0.5,0.1,2,0.35,0.4167,0.55,79,2.0334,-0.58,-0.2833,0.2167,5,1D3U,1.0,True,0.425,1,False,left,as
80,0.5,0.1,2,0.3667,0.2167,0.8667,80,2.2001,-0.5,-0.25,0.25,5,1D3U,2.0,False,0.549,1,False,right,as
81,0.5,0.1,2,0.4333,0.3,0.85,81,2.3333,-0.5,-0.25,0.25,5,1D2U,2.0,False,1.176,5,True,right,as
82,0.5,0.1,1,0.2667,0.2833,0.8,82,2.0833,-0.54,-0.2667,0.2333,5,1D2U,2.0,True,0.675,5,False,right,as
83,0.5,0.1,2,0.35,0.3667,0.7333,83,2.1833,-0.54,-0.2667,0.2333,5,1D2U,2.0,False,0.55,5,False,right,as
84,0.5,0.1,1,0.4333,0.3,0.4167,84,2.2667,0.22,0.1167,0.6167,5,3D1U,1.0,True,0.617,2,False,left,as
85,0.5,0.1,1,0.2167,0.3,0.5167,85,1.7667,-0.54,-0.2667,0.2333,5,1D3U,2.0,True,0.833,2,True,right,as
86,0.5,0.1,2,0.35,0.4333,0.65,86,2.4166,-0.02,-0.0167,0.4833,5,2D1U,2.0,False,0.65,2,False,right,as
87,0.5,0.1,1,0.2833,0.4167,0.6333,87,2.05,-0.58,-0.2833,0.2167,5,1D2U,2.0,True,0.8,5,False,right,as
88,0.5,0.1,1,0.2833,0.2667,0.8833,88,2.55,0.22,0.1167,0.6167,5,3D1U,2.0,False,0.517,2,False,right,as
89,0.5,0.1,2,0.3,0.4,0.75,89,2.4333,-0.02,-0.0167,0.4833,5,2D1U,2.0,False,0.649,2,False,right,as
90,0.5,0.1,1,0.3333,0.4,0.8333,90,2.5333,-0.06,-0.0333,0.4667,5,2D1U,1.0,False,0.933,3,True,left,as
91,0.5,0.1,2,0.2833,0.4167,0.8333,91,2.2666,-0.54,-0.2667,0.2333,5,1D3U,1.0,True,0.425,2,True,left,as
92,0.5,0.1,2,0.4333,0.2333,0.5333,92,2.1666,-0.06,-0.0333,0.4667,5,2D1U,1.0,True,0.491,3,True,left,as
93,0.5,0.1,1,0.3833,0.3833,0.5833,93,2.3332,-0.02,-0.0167,0.4833,5,2D1U,1.0,False,0.626,4,True,left,as
94,0.5,0.1,1,0.2833,0.2333,0.5167,94,1.75,-0.58,-0.2833,0.2167,5,1D2U,2.0,True,0.417,5,False,right,as
95,0.5,0.1,2,0.2167,0.2833,0.8667,95,2.1,-0.54,-0.2667,0.2333,5,1D3U,1.0,True,0.584,2,True,left,as
96,0.5,0.1,1,0.3167,0.3167,0.8833,96,2.65,0.26,0.1333,0.6333,5,3D1U,1.0,True,0.234,2,False,left,as
97,0.5,0.1,1,0.2833,0.4333,0.6,97,2.0666,-0.5,-0.25,0.25,5,1D3U,2.0,True,0.3,3,True,right,as
98,0.5,0.1,1,0.3,0.2833,0.6667,98,2.3833,0.26,0.1333,0.6333,5,3D1U,1.0,True,0.434,2,False,left,as
99,0.5,0.1,1,0.3333,0.2667,0.7667,99,2.1,-0.54,-0.2667,0.2333,5,1D2U,1.0,False,0.716,6,True,left,as
100,0.5,0.1,2,0.3667,0.4,0.7,100,2.45,-0.02,-0.0167,0.4833,5,2D1U,2.0,False,0.425,4,True,right,as
101,0.5,0.1,1,0.2333,0.2,0.8167,101,2.2167,-0.06,-0.0333,0.4667,5,2D1U,2.0,True,0.517,5,True,right,as
102,0.5,0.1,2,0.2167,0.3167,0.85,102,2.1334,-0.5,-0.25,0.25,5,1D3U,1.0,True,0.634,3,True,left,as
103,0.5,0.1,1,0.4333,0.45,0.4833,103,2.0833,-0.58,-0.2833,0.2167,5,1D2U,2.0,True,0.534,7,True,right,as
104,0.5,0.1,2,0.25,0.2,0.4167,104,1.85,-0.02,-0.0167,0.4833,5,2D1U,1.0,True,0.858,6,True,left,as
105,0.5,0.1,2,0.3833,0.2833,0.4333,105,2.1166,0.02,0.0167,0.5167,5,2D1U,1.0,False,1.1,6,False,left,as
106,0.5,0.1,1,0.2667,0.3833,0.7167,106,2.5,0.26,0.1333,0.6333,5,3D1U,1.0,True,0.65,2,False,left,as
107,0.5,0.1,1,0.3667,0.3333,0.75,107,2.4833,0.06,0.0333,0.5333,5,2D1U,2.0,False,0.759,6,False,right,as
108,0.5,0.1,1,0.3333,0.4333,0.8833,108,2.3999,-0.5,-0.25,0.25,5,1D3U,1.0,False,1.466,3,True,left,as
109,0.5,0.1,1,0.35,0.2167,0.75,109,2.05,-0.54,-0.2667,0.2333,5,1D3U,1.0,False,1.051,4,True,left,as
110,0.5,0.1,1,0.3,0.25,0.4667,110,2.1334,0.22,0.1167,0.6167,5,3D1U,1.0,True,0.417,3,True,left,as
111,0.5,0.1,1,0.4167,0.45,0.5667,111,2.1501,-0.58,-0.2833,0.2167,5,1D2U,1.0,False,0.616,7,True,left,as
112,0.5,0.1,1,0.2,0.3,0.8667,112,2.4834,0.22,0.1167,0.6167,5,3D1U,1.0,True,0.418,3,True,left,as
113,0.5,0.1,2,0.3333,0.35,0.8667,113,2.2333,-0.62,-0.3167,0.1833,5,1D2U,1.0,True,0.642,7,False,left,as
114,0.5,0.1,1,0.3833,0.2,0.6833,114,1.9833,-0.58,-0.2833,0.2167,5,1D3U,1.0,False,0.784,4,False,left,as
115,0.5,0.1,1,0.2,0.3333,0.6833,115,2.2666,0.1,0.05,0.55,5,2D1U,1.0,True,0.492,6,False,left,as
116,0.5,0.1,1,0.2667,0.3,0.8,116,2.4834,0.22,0.1167,0.6167,5,3D1U,1.0,True,0.758,3,True,left,as
117,0.5,0.1,2,0.2833,0.4,0.8833,117,2.2499,-0.62,-0.3167,0.1833,5,1D2U,1.0,True,0.566,7,False,left,as
118,0.5,0.1,1,0.3,0.3,0.8333,118,2.1166,-0.62,-0.3167,0.1833,5,1D3U,1.0,False,1.016,4,False,left,as
119,0.5,0.1,1,0.45,0.4167,0.4167,119,2.3334,0.1,0.05,0.55,5,2D1U,2.0,False,1.832,6,False,right,as
120,0.5,0.1,2,0.3,0.4,0.6667,120,2.45,0.18,0.0833,0.5833,5,3D1U,1.0,False,1.125,3,False,left,as
121,0.5,0.1,1,0.4167,0.3,0.4333,121,1.8667,-0.58,-0.2833,0.2167,5,1D2U,2.0,True,0.666,8,True,right,as
122,0.5,0.1,1,0.3167,0.3667,0.5667,122,2.3668,0.22,0.1167,0.6167,5,3D1U,2.0,False,1.532,4,True,right,as
123,0.5,0.1,2,0.3667,0.3833,0.7333,123,2.15,-0.66,-0.3333,0.1667,5,1D3U,1.0,True,0.766,4,False,left,as
124,0.5,0.1,2,0.35,0.4167,0.5667,124,2.4001,0.14,0.0667,0.5667,5,2D1U,2.0,True,0.525,6,False,right,as
125,0.5,0.1,2,0.4167,0.3667,0.8833,125,2.3834,-0.58,-0.2833,0.2167,5,1D2U,1.0,True,0.517,8,True,left,as
126,0.5,0.1,2,0.3167,0.4167,0.7333,126,2.6,0.26,0.1333,0.6333,5,3D1U,1.0,False,0.917,4,False,left,as
127,0.5,0.1,1,0.2333,0.45,0.6,127,2.0166,-0.54,-0.2667,0.2333,5,1D2U,2.0,True,0.958,8,False,right,as
128,0.5,0.1,2,0.3167,0.3167,0.7333,128,2.0334,-0.66,-0.3333,0.1667,5,1D3U,1.0,True,0.583,4,False,left,as
129,0.5,0.1,2,0.2667,0.3667,0.5,129,2.2834,0.3,0.15,0.65,5,3D1U,1.0,False,0.841,4,False,left,as
130,0.5,0.1,2,0.4167,0.2333,0.7667,130,2.4834,0.14,0.0667,0.5667,5,2D1U,2.0,True,0.568,6,False,right,as
131,0.5,0.1,2,0.3667,0.3833,0.6833,131,2.4833,0.1,0.05,0.55,5,2D1U,2.0,True,2.391,7,True,right,as
132,0.5,0.1,2,0.3167,0.2167,0.7833,132,2.4834,0.34,0.1667,0.6667,5,3D1U,2.0,True,0.559,4,False,right,as
133,0.5,0.1,1,0.4,0.2833,0.6,133,2.3333,0.1,0.05,0.55,5,2D1U,1.0,True,0.741,7,True,left,as
134,0.5,0.1,2,0.2333,0.3833,0.8667,134,2.15,-0.66,-0.3333,0.1667,5,1D3U,1.0,True,0.658,4,False,left,as
135,0.5,0.1,2,0.35,0.3333,0.85,135,2.2166,-0.62,-0.3167,0.1833,5,1D3U,1.0,True,0.733,5,True,left,as
136,0.5,0.1,1,0.3833,0.3833,0.6333,136,2.1332,-0.54,-0.2667,0.2333,5,1D2U,1.0,False,0.717,8,False,left,as
137,0.5,0.1,1,0.3833,0.3,0.6667,137,2.3833,0.06,0.0333,0.5333,5,2D1U,2.0,False,0.576,7,False,right,as
138,0.5,0.1,2,0.4333,0.4333,0.5333,138,2.5666,0.34,0.1667,0.6667,5,3D1U,1.0,False,0.824,4,False,left,as
139,0.5,0.1,1,0.3,0.3833,0.4667,139,1.8333,-0.62,-0.3167,0.1833,5,1D3U,1.0,False,1.232,5,True,left,as
140,0.5,0.1,1,0.4167,0.3667,0.4833,140,1.9334,-0.66,-0.3333,0.1667,5,1D3U,1.0,False,0.725,6,True,left,as
141,0.5,0.1,1,0.3,0.2833,0.6167,141,1.9167,-0.58,-0.2833,0.2167,5,1D2U,1.0,False,0.808,9,True,left,as
142,0.5,0.1,1,0.3667,0.4167,0.8667,142,2.7001,0.1,0.05,0.55,5,2D1U,2.0,False,0.658,8,True,right,as
143,0.5,0.1,1,0.25,0.2,0.4,143,1.5333,-0.62,-0.3167,0.1833,5,1D2U,1.0,False,1.242,9,False,left,as
144,0.5,0.1,1,0.3167,0.2,0.4833,144,1.6667,-0.66,-0.3333,0.1667,5,1D2U,1.0,False,1.475,9,False,left,as
145,0.5,0.1,1,0.3167,0.25,0.6667,145,1.8834,-0.7,-0.35,0.15,5,1D3U,2.0,True,0.867,6,False,right,as
146,0.5,0.1,2,0.35,0.4333,0.8833,146,2.8499,0.38,0.1833,0.6833,5,3D1U,2.0,True,0.567,4,False,right,as
147,0.5,0.1,1,0.2333,0.3167,0.4333,147,2.1666,0.38,0.1833,0.6833,5,3D1U,2.0,False,1.158,4,False,right,as
148,0.5,0.1,2,0.25,0.3333,0.5333,148,1.7666,-0.7,-0.35,0.15,5,1D3U,1.0,True,0.583,6,False,left,as
149,0.5,0.1,2,0.25,0.2333,0.7,149,1.8333,-0.7,-0.35,0.15,5,1D3U,1.0,True,1.034,6,False,left,as
150,0.5,0.1,2,0.2333,0.4167,0.4333,150,1.7333,-0.7,-0.35,0.15,5,1D2U,1.0,True,0.559,9,False,left,as
151,0.5,0.1,1,0.3333,0.3167,0.5833,151,2.45,0.42,0.2167,0.7167,5,3D1U,2.0,False,0.491,4,False,right,as
152,0.5,0.1,1,0.35,0.3833,0.6,152,2.5666,0.46,0.2333,0.7333,5,3D1U,2.0,False,1.733,4,False,right,as
153,0.5,0.1,2,0.2167,0.2667,0.8833,153,2.0167,-0.7,-0.35,0.15,5,1D2U,1.0,True,0.758,9,False,left,as
0,0.5,0.1,1,0.2833,0.2833,0.9,0,2.0166,-0.9,-0.45,0.05,5,2D1U,2.0,True,0.333,0,False,right,DT
1,0.5,0.1,2,0.25,0.4,0.6333,1,1.8333,-0.9,-0.45,0.05,5,1D2U,1.0,True,0.334,0,False,left,DT
2,0.5,0.1,2,0.35,0.25,0.7833,2,2.7833,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.218,0,False,right,DT
3,0.5,0.1,1,0.3667,0.2667,0.4833,3,1.6667,-0.9,-0.45,0.05,5,1D2U,2.0,True,0.517,0,False,right,DT
4,0.5,0.1,2,0.2833,0.2333,0.7833,4,1.9332,-0.74,-0.3667,0.1333,5,2D1U,1.0,True,0.433,0,False,left,DT
5,0.5,0.1,1,0.4333,0.3667,0.45,5,1.8,-0.9,-0.45,0.05,5,1D3U,2.0,True,0.224,0,False,right,DT
6,0.5,0.1,2,0.2667,0.4333,0.4667,6,1.7167,-0.9,-0.45,0.05,5,3D1U,1.0,True,0.284,0,False,left,DT
7,0.5,0.1,2,0.3667,0.3,0.5833,7,1.8833,-0.74,-0.3667,0.1333,5,1D2U,1.0,True,0.35,0,False,left,DT
8,0.5,0.1,2,0.2333,0.2667,0.5333,8,1.75,-0.58,-0.2833,0.2167,5,2D1U,1.0,True,0.409,0,False,left,DT
9,0.5,0.1,1,0.4167,0.4167,0.55,9,2.0167,-0.74,-0.3667,0.1333,5,3D1U,2.0,True,0.158,0,False,right,DT
10,0.5,0.1,2,0.3833,0.25,0.7167,10,1.95,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.3,0,False,left,DT
11,0.5,0.1,2,0.35,0.3667,0.7333,11,2.0,-0.9,-0.45,0.05,5,1D3U,1.0,True,0.25,0,False,left,DT
12,0.5,0.1,2,0.3,0.3,0.6667,12,2.05,-0.42,-0.2167,0.2833,5,2D1U,2.0,False,0.482,0,False,right,DT
13,0.5,0.1,1,0.4167,0.4167,0.7833,13,2.3334,-0.58,-0.2833,0.2167,5,3D1U,2.0,True,0.517,0,False,right,DT
14,0.5,0.1,1,0.2167,0.2167,0.9,14,1.9667,-0.74,-0.3667,0.1333,5,1D2U,2.0,True,0.44,0,False,right,DT
15,0.5,0.1,2,0.3667,0.45,0.4667,15,2.6834,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.157,0,False,right,DT
16,0.5,0.1,2,0.4333,0.35,0.7333,16,2.0666,-0.9,-0.45,0.05,5,1D3U,1.0,True,0.308,0,False,left,DT
17,0.5,0.1,2,0.4333,0.2667,0.4167,17,1.75,-0.74,-0.3667,0.1333,5,1D3U,1.0,True,0.375,0,False,left,DT
18,0.5,0.1,2,0.3,0.2167,0.55,18,2.4667,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.332,0,False,right,DT
19,0.5,0.1,2,0.3,0.3833,0.5333,19,1.9333,-0.58,-0.2833,0.2167,5,1D2U,1.0,True,0.358,0,False,left,DT
20,0.5,0.1,2,0.25,0.2833,0.55,20,1.8666,-0.42,-0.2167,0.2833,5,2D1U,1.0,True,0.4,0,False,left,DT
21,0.5,0.1,2,0.4,0.3,0.7667,21,2.25,-0.42,-0.2167,0.2833,5,3D1U,1.0,True,0.424,0,False,left,DT
22,0.5,0.1,2,0.4167,0.3833,0.8333,22,2.5,-0.26,-0.1333,0.3667,5,3D1U,1.0,True,0.424,0,False,left,DT
23,0.5,0.1,1,0.3,0.2167,0.75,23,1.9834,-0.58,-0.2833,0.2167,5,1D2U,2.0,True,0.367,0,False,right,DT
24,0.5,0.1,1,0.2667,0.4,0.8333,24,2.3667,-0.26,-0.1333,0.3667,5,2D1U,2.0,True,0.376,0,False,right,DT
25,0.5,0.1,1,0.4333,0.4333,0.8,25,2.2999,-0.74,-0.3667,0.1333,5,1D3U,2.0,True,0.266,0,False,right,DT
26,0.5,0.1,2,0.3333,0.3667,0.4667,26,2.5667,0.8,0.4,0.9,5,lapse_rate,2.0,True,0.358,0,False,right,DT
27,0.5,0.1,1,0.3333,0.2167,0.65,27,1.8,-0.8,-0.4,0.1,5,lapse_rate,2.0,True,0.874,0,False,right,DT
28,0.5,0.1,2,0.4167,0.3833,0.4,28,2.15,-0.1,-0.05,0.45,5,2D1U,2.0,False,0.641,0,False,right,DT
29,0.5,0.1,2,0.3333,0.25,0.8167,29,2.35,-0.1,-0.05,0.45,5,3D1U,2.0,False,1.116,0,False,right,DT
30,0.5,0.1,1,0.2333,0.3167,0.5167,30,1.85,-0.42,-0.2167,0.2833,5,1D2U,1.0,False,1.117,0,False,left,DT
31,0.5,0.1,1,0.2833,0.3,0.4667,31,1.6833,-0.74,-0.3667,0.1333,5,1D3U,2.0,True,0.617,0,False,right,DT
32,0.5,0.1,2,0.4333,0.2167,0.5333,32,1.7833,-0.8,-0.4,0.1,5,lapse_rate,1.0,True,0.4,0,False,left,DT
33,0.5,0.1,1,0.2167,0.3667,0.55,33,2.0834,-0.1,-0.05,0.45,5,3D1U,2.0,True,0.742,0,False,right,DT
