,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
54,54,0.5,0.1,2,0.2167,0.25,0.45,54,1.8834,-0.06,-0.0333,0.4667,5,2D1U,1.0,True,0.666,2,False,left
55,55,0.5,0.1,2,0.3833,0.4,0.4167,55,1.95,-0.5,-0.25,0.25,5,1D2U,1.0,True,0.317,3,True,left
56,56,0.5,0.1,1,0.2667,0.2333,0.8,56,1.9667,-0.66,-0.3333,0.1667,5,1D3U,2.0,True,0.415,1,True,right
57,57,0.5,0.1,2,0.3833,0.3667,0.8333,57,2.25,-0.66,-0.3333,0.1667,5,1D3U,1.0,True,0.517,1,True,left
58,58,0.5,0.1,1,0.2,0.25,0.4833,58,1.9166,-0.02,-0.0167,0.4833,5,2D1U,1.0,False,0.643,2,False,left
59,59,0.5,0.1,1,0.2667,0.25,0.75,59,1.8667,-0.8,-0.4,0.1,5,lapse_rate,2.0,True,0.291,0,False,right
60,60,0.5,0.1,1,0.2833,0.35,0.6667,60,2.0667,-0.46,-0.2333,0.2667,5,1D2U,1.0,False,0.358,4,True,left
61,61,0.5,0.1,2,0.3667,0.3,0.6833,61,2.5333,0.38,0.1833,0.6833,5,3D1U,2.0,True,0.516,0,False,right
62,62,0.5,0.1,2,0.3667,0.4,0.6,62,2.35,-0.02,-0.0167,0.4833,5,2D1U,1.0,True,0.45,2,False,left
63,63,0.5,0.1,1,0.3833,0.4333,0.7667,63,2.3333,-0.5,-0.25,0.25,5,1D2U,2.0,True,0.267,5,True,right
64,64,0.5,0.1,1,0.3167,0.3667,0.85,64,2.2167,-0.62,-0.3167,0.1833,5,1D3U,1.0,False,0.826,2,True,left
65,65,0.5,0.1,2,0.2667,0.25,0.8667,65,2.5667,0.38,0.1833,0.6833,5,3D1U,2.0,True,0.467,0,False,right
