,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,total_audio_dur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys
136,136,0.5,0.1,1,0.45,0.25,0.45,136,2.4667,0.646,0.3167,0.8167,5,3D1U,1.0,True,0.499,6,True,left
137,137,0.5,0.1,1,0.2667,0.4,0.6667,137,2.2334,-0.206,-0.1,0.4,5,2U1D,2.0,True,0.392,7,False,right
138,138,0.5,0.1,2,0.3333,0.3333,0.4167,138,1.8666,-0.446,-0.2167,0.2833,5,3U1D,1.0,True,0.583,7,True,left
139,139,0.5,0.1,1,0.3667,0.3667,0.6667,139,2.5334,0.282,0.1333,0.6333,5,2D1U,2.0,False,0.384,4,False,right
140,140,0.5,0.1,2,0.3333,0.2167,0.8667,140,2.7167,0.61,0.3,0.8,5,3D1U,2.0,True,0.359,6,False,right
141,141,0.5,0.1,1,0.3,0.2333,0.8833,141,2.3166,-0.206,-0.1,0.4,5,2U1D,2.0,True,0.493,7,False,right
142,142,0.5,0.1,2,0.2333,0.2333,0.8333,142,2.5999,0.61,0.3,0.8,5,3D1U,2.0,True,0.484,6,False,right
143,143,0.5,0.1,1,0.3,0.3333,0.4167,143,1.8333,-0.446,-0.2167,0.2833,5,3U1D,1.0,False,0.475,7,True,left
144,144,0.5,0.1,1,0.4,0.2167,0.5333,144,2.0667,-0.17,-0.0833,0.4167,5,2U1D,2.0,True,0.518,8,True,right
145,145,0.5,0.1,2,0.35,0.3667,0.4333,145,2.0667,-0.17,-0.0833,0.4167,5,2U1D,1.0,True,0.425,8,True,left
146,146,0.5,0.1,2,0.3667,0.45,0.8333,146,2.8167,0.318,0.1667,0.6667,5,2D1U,2.0,True,0.258,4,False,right
147,147,0.5,0.1,2,0.2333,0.3833,0.7833,147,2.1666,-0.482,-0.2333,0.2667,5,3U1D,1.0,True,0.417,7,False,left
148,148,0.5,0.1,1,0.35,0.3833,0.45,148,2.35,0.318,0.1667,0.6667,5,2D1U,1.0,True,0.375,4,False,left
149,149,0.5,0.1,1,0.2833,0.45,0.8833,149,2.9166,0.61,0.3,0.8,5,3D1U,2.0,False,0.475,6,False,right
150,150,0.5,0.1,2,0.3333,0.2667,0.8333,150,2.2,-0.482,-0.2333,0.2667,5,3U1D,1.0,True,0.508,7,False,left
151,151,0.5,0.1,1,0.2833,0.25,0.4167,151,2.0833,0.282,0.1333,0.6333,5,2D1U,1.0,True,0.725,5,True,left
152,152,0.5,0.1,1,0.3833,0.25,0.55,152,2.3166,0.282,0.1333,0.6333,5,2D1U,1.0,True,0.392,5,True,left
153,153,0.5,0.1,1,0.4,0.4,0.7667,153,2.6834,0.246,0.1167,0.6167,5,2D1U,2.0,False,0.342,5,False,right
