,Unnamed: 0,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
53,53,0.49814,0.1,1,0.22416,0.20756,0.79702,53,2.33295,0.22,0.10793,0.60607,5,3D1U,1.0,True,0.499,0,False,left,0.0,0.224,0.8321,0.6081,1.6326,2.1323,0.4997,A
54,54,0.49814,1.2,1,0.24907,0.20756,0.83854,54,1.85973,-0.86,-0.43172,0.06642,5,1D3U,2.0,True,1.685,2,True,right,0.0,0.2487,0.3159,0.0672,1.1574,1.6577,0.5003,V
55,55,0.49814,0.1,1,0.43172,0.25737,0.59777,55,1.83481,-0.9,-0.44833,0.04981,5,lapse_rate,2.0,True,0.427,0,False,right,0.0,0.4297,0.4797,0.05,1.0789,1.5787,0.4998,A
56,56,0.49814,0.1,2,0.44002,0.24077,0.61437,56,2.24163,-0.1,-0.04981,0.44833,5,2D1U,1.0,True,0.608,2,False,left,0.0,1.5608,2.0112,0.4504,0.4444,0.9443,0.4999,V
57,57,0.49814,1.2,1,0.3653,0.41512,0.53965,57,1.88463,-0.86,-0.43172,0.06642,5,1D3U,2.0,True,0.524,2,True,right,0.0,0.3657,0.4333,0.0676,0.9733,1.4742,0.5008,A
58,58,0.49814,0.1,1,0.39021,0.40681,0.88835,58,2.75637,0.14,0.06642,0.57286,5,3D1U,1.0,True,0.308,1,True,left,0.0,0.3924,0.9682,0.5758,1.8597,2.3596,0.4999,A
59,59,0.49814,0.1,2,0.31549,0.22416,0.6974,59,1.785,-0.9,-0.44833,0.04981,5,lapse_rate,1.0,True,0.56,0,False,left,0.0,1.5149,1.5655,0.0506,0.3159,0.8151,0.4992,V
60,60,0.49814,1.2,1,0.43172,0.41512,0.48984,60,1.90124,-0.86,-0.43172,0.06642,5,1D2U,1.0,False,0.879,4,True,left,0.0,0.4365,0.5029,0.0665,0.9951,1.4952,0.5001,A
61,61,0.49814,0.1,2,0.21586,0.38191,0.7057,61,2.27484,-0.06,-0.03321,0.47323,5,2D1U,1.0,True,0.367,2,False,left,0.0,1.4204,1.8948,0.4744,0.2113,0.7127,0.5014,A
62,62,0.49814,1.2,2,0.19926,0.23247,0.48154,62,1.50274,-0.82,-0.40681,0.09133,5,1D3U,1.0,True,1.337,3,True,left,0.0,1.1802,1.272,0.0919,0.1971,0.6974,0.5003,A
63,63,0.49814,0.1,1,0.22416,0.357,0.86344,63,2.43258,-0.02,-0.0083,0.48984,5,2D1U,1.0,False,0.648,2,False,left,0.0,0.2279,0.7188,0.491,1.5859,2.086,0.5,A
