,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetAudio,recordedOffsetAudio,recordedDurAudio,modalityPostCue
77,0.5002,0.0,2,0.617,0.4419,0.4836,77,2.5263,-0.0249,-0.0083,0.4836,5,1U1D,2.0,False,5.584,8,False,right,0.0,1.5892352999999275,2.072746699999925,0.4835113999999976,0.6059410999998818,1.1059536999998727,0.5000125999999909,
78,0.5002,0.0,1,0.5419,0.4419,0.7504,78,2.8514,0.2282,0.1167,0.617,5,1D1U,1.0,True,1.141,4,True,left,0.0,0.5302970000000187,1.147122900000113,0.6168259000000944,1.8886764000001222,2.388997100000097,0.5003206999999747,
79,0.5002,0.0,1,0.4836,0.5086,0.4586,79,2.1678,-0.5622,-0.2835,0.2168,5,2U1D,1.0,False,1.724,5,True,left,0.0,0.47319379999999,0.689776300000176,0.21658250000018597,1.1394277000001694,1.6396482000000105,0.5002204999998412,
80,0.5002,0.0,2,0.5669,0.6086,0.4252,80,2.8929,0.584,0.2918,0.792,5,2D1U,2.0,True,1.466,3,False,right,0.0,1.4801106000002164,2.280425900000182,0.8003152999999656,0.5555522000001929,1.0552602000000206,0.49970799999982773,
81,0.5002,0.0,1,0.4502,0.642,0.6086,81,2.9514,0.4942,0.2501,0.7504,5,2D1U,1.0,True,0.508,4,True,left,0.0,0.43902830000001813,1.197458000000097,0.7584297000000788,1.7891970000000583,2.289352400000098,0.5001554000000397,
82,0.5002,0.0,2,0.5002,0.5169,0.3335,82,2.4177,0.1384,0.0667,0.5669,5,1D1U,1.0,False,2.108,4,False,left,0.0,1.3216809999998986,1.8965484000000288,0.5748674000001301,0.4885455999999522,0.9887954999999238,0.5002498999999716,
83,0.5002,0.0,2,0.5669,0.5753,0.6837,83,3.0765,0.4942,0.2501,0.7504,5,2D1U,2.0,True,0.916,4,True,right,0.0,1.739400299999943,2.4976575000000594,0.7582572000001164,0.5561749000000873,1.0561608000000433,0.499985899999956,
84,0.5002,0.0,1,0.4586,0.642,0.8337,84,3.1348,0.4044,0.2001,0.7003,5,2D1U,1.0,True,0.316,4,False,left,0.0,0.44383769999990363,1.1604783000000225,0.7166406000001189,1.9689619999999195,2.468993400000045,0.5000314000001254,
85,0.5002,0.0,1,0.5836,0.5836,0.8504,85,2.6929,-0.652,-0.3252,0.1751,5,2U1D,2.0,True,0.966,5,False,right,0.0,0.5741872999999487,0.757058299999926,0.18287099999997736,1.5904057000000194,2.0905720000000656,0.5001663000000462,
86,0.5002,0.0,2,0.4919,0.4752,0.5336,86,2.4428,-0.1147,-0.0584,0.4419,5,1U1D,1.0,True,1.808,9,True,left,0.0,1.512617400000181,1.9628226000002087,0.4502052000000276,0.4794096000000536,0.9794288000000506,0.500019199999997,
87,0.5002,0.0,2,0.6253,0.4419,0.3585,87,2.101,-0.652,-0.3252,0.1751,5,2U1D,2.0,False,2.374,5,False,right,0.0,1.474529500000017,1.6497199000000364,0.1751904000000195,0.6161638000000949,1.116404999999986,0.5002411999998913,
88,0.5002,0.0,1,0.6253,0.4836,0.0167,88,1.7509,-0.7418,-0.3668,0.1251,5,2U1D,2.0,True,1.558,5,False,right,0.0,0.616621699999996,0.7497941999999966,0.13317250000000058,0.7497941999999966,1.2496920000000955,0.49989780000009887,
89,0.5002,0.0,1,0.6336,0.5086,0.9004,89,3.1598,0.2282,0.1167,0.617,5,1D1U,2.0,False,1.208,5,True,right,0.0,0.6220347000000856,1.2387528000001566,0.616718100000071,2.130475400000023,2.6303269,0.499851499999977,
90,0.5002,0.0,1,0.642,0.4002,0.4419,90,2.4679,-0.0249,-0.0083,0.4836,5,1U1D,1.0,False,5.625,10,True,left,0.0,0.6311384000000544,1.1143907000000581,0.48325230000000374,1.5478362999999717,2.047858700000006,0.5000224000000344,
91,0.5002,0.0,1,0.4752,0.4919,0.7504,91,2.918,0.4044,0.2001,0.7003,5,2D1U,1.0,True,0.833,4,False,left,0.0,0.463651499999969,1.1806361999999808,0.7169847000000118,1.905230599999868,2.4054667999998856,0.5002362000000176,
92,0.5002,0.0,2,0.617,0.5919,0.2918,92,2.126,-0.7418,-0.3668,0.1251,5,2U1D,1.0,True,1.442,5,False,left,0.0,1.3976520999999593,1.5311619000001429,0.13350980000018353,0.606184600000006,1.1062799000001178,0.5000953000001118,
93,0.5002,0.0,1,0.4836,0.5753,0.717,93,2.9347,0.3147,0.1584,0.6586,5,2D1U,2.0,False,0.966,4,False,right,0.0,0.47117530000014085,1.1378449999999702,0.6666696999998294,1.8378318000000036,2.3378039000001536,0.49997210000015,
94,0.5002,0.0,2,0.4502,0.4252,0.2835,94,2.101,-0.1147,-0.0584,0.4419,5,1U1D,2.0,False,3.075,11,True,right,0.0,1.2198222999998052,1.6697288999998818,0.44990660000007665,0.43643189999988863,0.9364955999999438,0.5000637000000552,
95,0.5002,0.0,1,0.5169,0.6503,0.7253,95,3.0513,0.318,0.1584,0.6586,5,1D1U,1.0,True,2.091,5,False,left,0.0,0.505489500000067,1.1635696000000735,0.6580801000000065,1.8804469000001518,2.3804407000000083,0.4999937999998565,
96,0.5002,0.0,2,0.5919,0.6336,0.4419,96,2.7846,0.2282,0.1167,0.617,5,1D1U,2.0,True,1.208,6,True,right,0.0,1.524428799999896,2.149336299999959,0.624907500000063,0.5829707000000326,1.0830347999999503,0.5000640999999177,
97,0.5002,0.0,2,0.5086,0.4335,0.2418,97,2.3844,0.4044,0.2001,0.7003,5,2D1U,2.0,True,2.808,5,True,right,0.0,1.2388039999998455,1.955395499999895,0.7165915000000496,0.49728189999996175,0.9971434999999929,0.4998616000000311,
98,0.5002,0.0,1,0.4586,0.617,0.2751,98,2.4178,0.1384,0.0667,0.5669,5,1D1U,1.0,True,2.008,6,False,left,0.0,0.44622720000006666,1.012831100000085,0.5666039000000183,1.2794339000001855,1.7791435999999976,0.4997096999998121,
99,0.5002,0.0,1,0.6253,0.5336,0.6336,99,2.8179,0.0487,0.025,0.5252,5,1D1U,2.0,False,1.374,6,False,right,0.0,0.6131975999999213,1.1382892999999967,0.5250917000000754,1.7630091999999422,2.263033299999961,0.5000241000000187,
100,0.5002,0.0,1,0.4419,0.4335,0.0333,100,1.584,-0.652,-0.3252,0.1751,5,2U1D,2.0,True,1.958,6,True,right,0.0,0.42958619999990333,0.6127621999999064,0.18317600000000311,0.6293773999998393,1.1301553999999214,0.5007780000000821,
101,0.5002,0.0,2,0.4919,0.5669,0.792,101,2.7512,-0.2044,-0.1,0.4002,5,1U1D,2.0,False,0.707,11,False,right,0.0,1.7748438999999507,2.1831150000000434,0.4082711000000927,0.48285759999998845,0.9830615999999281,0.5002039999999397,
102,0.5002,0.0,2,0.5836,0.4502,0.7003,102,2.5845,-0.2942,-0.1501,0.3502,5,1U1D,2.0,False,0.7,11,False,right,0.0,1.7718121000000338,2.1298812999998518,0.358069199999818,0.5717412999999851,1.0721255999999357,0.5003842999999506,
103,0.5002,0.0,2,0.5169,0.4586,0.7253,103,2.5095,-0.384,-0.1918,0.3085,5,1U1D,1.0,True,1.24,11,False,left,0.0,1.7300677999999152,2.0384742999999617,0.30840650000004644,0.5050888000000668,1.00516279999988,0.5000739999998132,
