,standardDur,riseDur,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
137,0.5003,0.0,2,0.6004,0.4086,0.8755,137,2.6766,-0.408,-0.2001,0.2918,5,2U1D,1.0,True,3.108,6,False,left,0.0,1.9665442999685183,2.2578073000186123,0.291263000050094,0.5910949999815784,1.0910756000084803,0.4999806000269018,
138,0.5003,0.0,1,0.542,0.5753,0.2418,138,2.3597,-0.0,0.0,0.5003,5,1U1D,2.0,False,0.508,14,False,right,0.0,0.5329745000344701,1.0328918000450358,0.49991730001056567,1.282743500021752,1.7827848000451922,0.5000413000234403,
139,0.5003,0.0,2,0.5837,0.592,0.567,139,2.785,0.088,0.0417,0.542,5,2D1U,2.0,True,0.992,6,False,right,0.0,1.641315900022164,2.1835180000052787,0.5422020999831147,0.5743265000055544,1.0742709999904037,0.49994449998484924,
140,0.5003,0.0,1,0.5086,0.4836,0.6337,140,2.4514,-0.344,-0.1751,0.3252,5,1D1U,2.0,True,0.175,15,True,right,0.0,0.4994662999524735,0.8243517999653704,0.32488550001289696,1.4659589999937452,1.96588159998646,0.4999225999927148,
141,0.5003,0.0,2,0.4169,0.6337,0.6754,141,2.5181,-0.408,-0.2001,0.2918,5,2U1D,1.0,True,0.191,6,False,left,0.0,1.5826325000380166,1.8744570999988355,0.2918245999608189,0.4078043000190519,0.9075770000345074,0.4997727000154555,
142,0.5003,0.0,2,0.4419,0.4086,0.1001,142,1.9929,0.088,0.0417,0.542,5,2D1U,2.0,True,0.225,6,False,right,0.0,1.0324295000173151,1.5741003000293858,0.5416708000120707,0.4322231999831274,0.932288600015454,0.5000654000323266,
143,0.5003,0.0,2,0.517,0.517,0.5086,143,2.5515,0.016,0.0083,0.5086,5,2D1U,1.0,False,0.675,6,False,left,0.0,1.5165509000071324,2.0248961999895982,0.5083452999824658,0.5081974999629892,1.0081351000117138,0.49993760004872456,
144,0.5003,0.0,2,0.6087,0.5337,0.592,144,2.7767,0.088,0.0417,0.542,5,2D1U,2.0,True,0.161,7,True,right,0.0,1.6903612000169232,2.2319920000154525,0.5416307999985293,0.5987930000410415,1.0990171000012197,0.5002240999601781,
145,0.5003,0.0,2,0.5753,0.6421,0.5753,145,2.6599,-0.272,-0.1334,0.3669,5,1D1U,1.0,True,0.275,16,True,left,0.0,1.6403781999833882,2.0070433999644592,0.36666519998107105,0.565660799969919,1.0653560999780893,0.4996953000081703,
146,0.5003,0.0,2,0.5837,0.567,0.3502,146,2.3347,-0.336,-0.1668,0.3335,5,2U1D,1.0,True,2.775,6,False,left,0.0,1.4238926999969408,1.757321499986574,0.33342879998963326,0.5738605999504216,1.0739693999639712,0.5001088000135496,
147,0.5003,0.0,2,0.5253,0.4836,0.1334,147,2.0428,-0.2,-0.1001,0.4002,5,1D1U,1.0,True,1.159,16,False,left,0.0,1.1494049000320956,1.5494357999996282,0.4000308999675326,0.5158675999846309,1.0160249000182375,0.5001573000336066,
148,0.5003,0.0,1,0.4336,0.4253,0.8672,148,2.5599,-0.336,-0.1668,0.3335,5,2U1D,2.0,True,1.558,6,False,right,0.0,0.42326039995532483,0.7574966999818571,0.33423630002653226,1.623818299965933,2.123598199978005,0.4997799000120722,
149,0.5003,0.0,2,0.4503,0.4419,0.1834,149,2.0095,-0.128,-0.0667,0.4336,5,1D1U,1.0,True,0.658,16,False,left,0.0,1.1248992000473663,1.5584100999985822,0.43351089995121583,0.4415562000358477,0.9415189000428654,0.4999627000070177,
150,0.5003,0.0,2,0.5503,0.6087,0.5253,150,2.5515,-0.264,-0.1334,0.3669,5,2U1D,1.0,True,0.85,6,False,left,0.0,1.565918700012844,1.9326054999837652,0.36668679997092113,0.5412329999962822,1.0412707999930717,0.5000377999967895,
151,0.5003,0.0,1,0.4086,0.5503,0.3002,151,2.1263,-0.264,-0.1334,0.3669,5,2U1D,1.0,False,0.874,6,False,left,0.0,0.39914520003367215,0.7656219999771565,0.36647679994348437,1.0655705999815837,1.5659029000089504,0.5003323000273667,
152,0.5003,0.0,1,0.5587,0.5253,0.542,152,2.4598,-0.336,-0.1668,0.3335,5,2U1D,2.0,True,0.316,7,True,right,0.0,0.5500176000059582,0.883353800047189,0.33333620004123077,1.4251305000507273,1.9252554000122473,0.50012489996152,
153,0.5003,0.0,1,0.617,0.617,0.2668,153,2.3346,-0.336,-0.1668,0.3335,5,2U1D,2.0,True,0.883,7,True,right,0.0,0.6076150999870151,0.9410436999751255,0.33342859998811036,1.2077086999779567,1.7076468999730423,0.4999381999950856,
