,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetAudioTest,recordedOffsetAudioTest,recordedDurAudioTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCueTest
53,0.50108,1.2,1,0.37581,0.35075,0.53448,53,2.32166,0.12,0.05846,0.55954,5,2D1U,2,FALSE,1.146,1,TRUE,right,0,0.0005581,2.3325717,2.3320136,1.4578062,1.9582385,0.5004323,
54,0.50108,1.2,1,0.35911,0.44262,0.78502,54,2.13794,-0.9,-0.45097,0.05011,5,lapse_rate,2,TRUE,0.708,0,FALSE,right,0,0.0006133,2.148436,2.1478227,1.1823953,1.6819876,0.4995923,
55,0.50108,0.1,1,0.28394,0.38416,0.86853,55,2.48868,-0.096,-0.05011,0.45097,5,1D1U,1,FALSE,1.576,5,TRUE,left,0,0.0003901,2.4989307,2.4985406,1.5901787,2.0906744,0.5004957,
56,0.50108,1.2,1,0.26724,0.31735,0.41756,56,1.60345,-0.804,-0.40086,0.10022,5,1U1D,1,FALSE,2.618,8,TRUE,left,0,0.0007257,1.6065042,1.6057785,0.7741601,1.2733888,0.4992287,
57,0.50108,0.1,1,0.40921,0.30065,0.88524,57,3.04823,0.9,0.45097,0.95205,5,lapse_rate,2,FALSE,0.658,0,FALSE,right,0,0.0002899,3.0569243,3.0566344,2.2317591,2.7318956,0.5001365,
58,0.50108,0.1,1,0.35911,0.42592,0.51778,58,2.42188,0.24,0.11692,0.61799,5,2D1U,1,TRUE,1.814,1,FALSE,left,0,0.000279,2.4159978,2.4157188,1.4830519,1.9828699,0.499818,
59,0.50108,1.2,1,0.43427,0.36746,0.62635,59,2.05443,-0.756,-0.37581,0.12527,5,2U1D,2,TRUE,0.516,3,FALSE,right,0,0.0007517,2.0575006,2.0567489,1.1738361,1.6740653,0.5002292,
60,0.50108,0.1,2,0.38416,0.29229,0.81843,60,2.41352,-0.168,-0.08351,0.41756,5,1D1U,2,FALSE,1.801,5,FALSE,right,0,0.0004335,2.4079909,2.4075574,0.3749233,0.8745983,0.499675,
61,0.50108,0.1,2,0.23384,0.31735,0.75162,61,2.75594,0.9,0.45097,0.95205,5,lapse_rate,2,TRUE,0.182,0,FALSE,right,0,0.0003012,2.756908,2.7566068,0.2234741,0.723458,0.4999839,
62,0.50108,1.2,2,0.24219,0.38416,0.52613,62,2.03772,-0.24,-0.11692,0.38416,5,1D1U,1,TRUE,2.94,5,FALSE,left,0,0.0002759,2.0492745,2.0489986,0.232763,0.7325595,0.4997965,
63,0.50108,0.1,2,0.33405,0.41756,0.61799,63,2.48867,0.24,0.11692,0.61799,5,2D1U,2,TRUE,0.962,1,FALSE,right,0,0.0003109,2.4893488,2.4890379,0.3228079,0.8226931,0.4998852,
64,0.50108,1.2,2,0.33405,0.20043,0.48437,64,1.57839,-0.876,-0.43427,0.05846,5,1U1D,2,FALSE,2.152,8,FALSE,right,0,0.0002915,1.5912952,1.5910037,0.3243456,0.8243162,0.4999706,
65,0.50108,0.1,2,0.21713,0.309,0.61799,65,1.77047,-0.756,-0.37581,0.12527,5,2U1D,1,TRUE,0.996,3,FALSE,left,0,0.0002969,1.7826081,1.7823112,0.20731,0.7076799,0.5003699,
66,0.50108,1.2,2,0.25889,0.20878,0.86018,66,1.87904,-0.9,-0.45097,0.05011,5,1U1D,2,FALSE,1.048,8,FALSE,right,0,0.0002874,1.8751168,1.8748294,0.2488735,0.7488191,0.4999456,
67,0.50108,0.1,2,0.36746,0.22548,0.59294,67,1.73707,-0.9,-0.45097,0.05011,5,lapse_rate,1,TRUE,0.534,0,FALSE,left,0,0.0002783,1.7327822,1.7325039,0.3570797,0.8570582,0.4999785,
68,0.50108,0.1,2,0.22548,0.309,0.6681,68,1.86233,-0.684,-0.3424,0.15867,5,2U1D,2,FALSE,0.789,3,FALSE,right,0,0.0007137,1.8659596,1.8652459,0.2153332,0.7152704,0.4999372,
69,0.50108,1.2,2,0.24219,0.41756,0.81007,69,2.55549,0.168,0.08351,0.58459,5,2D1U,2,TRUE,0.172,2,TRUE,right,0,0.00066,2.5579653,2.5573053,0.2331865,0.7333375,0.500151,
70,0.50108,0.1,2,0.30065,0.27559,0.55954,70,2.05442,-0.168,-0.08351,0.41756,5,1D1U,2,FALSE,0.504,6,TRUE,right,0,0.0002663,2.0652138,2.0649475,0.2904679,0.7902902,0.4998223,
71,0.50108,1.2,2,0.26724,0.43427,0.84348,71,2.43023,-0.24,-0.11692,0.38416,5,1D1U,2,FALSE,0.53,7,TRUE,right,0,0.0002829,2.4321212,2.4318383,0.2568036,0.7568854,0.5000818,
72,0.50108,0.1,2,0.33405,0.40921,0.41756,72,1.71201,-0.9,-0.45097,0.05011,5,1U1D,1,TRUE,22.074,8,FALSE,left,0,0.000287,1.7153753,1.7150883,0.3240885,0.8238729,0.4997844,
73,0.50108,0.1,2,0.24219,0.20878,0.73491,73,2.63901,0.9,0.45097,0.95205,5,lapse_rate,2,TRUE,0.421,0,FALSE,right,0,0.0002625,2.6489345,2.648672,0.2320161,0.7321692,0.5001531,
74,0.50108,1.2,2,0.45097,0.28394,0.50108,74,1.86234,-0.756,-0.37581,0.12527,5,2U1D,1,TRUE,2.834,4,TRUE,left,0,0.0006781,1.8567689,1.8560908,0.4404295,0.9401183,0.4996888,
75,0.50108,0.1,2,0.22548,0.39251,0.54283,75,2.24649,0.168,0.08351,0.58459,5,2D1U,2,TRUE,0.465,2,TRUE,right,0,0.0006855,2.2400875,2.239402,0.2157523,0.715654,0.4999017,
76,0.50108,1.2,2,0.41756,0.37581,0.64305,76,2.06277,-0.756,-0.37581,0.12527,5,2U1D,2,FALSE,1.562,4,TRUE,right,0,0.0002885,2.0657949,2.0655064,0.4071238,0.9074112,0.5002874,
77,0.50108,0.1,2,0.22548,0.40921,0.80172,77,2.48867,0.096,0.05011,0.55118,5,2D1U,2,TRUE,0.396,2,FALSE,right,0,0.0007497,2.4905722,2.4898225,0.2158815,0.7165949,0.5007134,
78,0.50108,1.2,2,0.30065,0.22548,0.45932,78,1.82893,-0.312,-0.15867,0.3424,5,1D1U,2,FALSE,0.753,7,FALSE,right,0,0.0002872,1.8320686,1.831781399,0.2905447,0.7897955,0.4992508,
79,0.50108,1.2,2,0.40921,0.20878,0.71821,79,1.88739,-0.9,-0.45097,0.05011,5,lapse_rate,1,TRUE,0.97,0,FALSE,left,0,0.000272,1.8902905,1.8900185,0.3979929,0.8981913,0.5001984,
80,0.50108,0.1,2,0.3257,0.31735,0.78502,80,2.01266,-0.828,-0.41756,0.08351,5,1U1D,1,TRUE,1.213,9,TRUE,left,0,0.0004077,2.024776,2.0243683,0.3162464,0.816484,0.5002376,
81,0.50108,1.2,2,0.41756,0.35911,0.79337,81,2.6223,0.096,0.05011,0.55118,5,2D1U,2,TRUE,0.374,2,FALSE,right,0,0.0002996,2.6327609,2.6324613,0.4080778,0.9076295,0.4995517,
82,0.50108,0.1,2,0.33405,0.40086,0.85183,82,2.39682,-0.384,-0.19208,0.309,5,1D1U,2,FALSE,0.547,7,FALSE,right,0,0.000775,2.3995391,2.3987641,0.3239948,0.824371,0.5003762,
83,0.50108,1.2,2,0.44262,0.25889,0.64305,83,1.92915,-0.828,-0.41756,0.08351,5,2U1D,1,TRUE,1.888,4,FALSE,left,0,0.0006897,1.9395691,1.9388794,0.4309999,0.9314216,0.5004217,
