model,display_model,nstart,parameter,value,nLL,success,is_best
switchingFree,Cue switching,3,p_sw1,0.0731693335595181,1353.6258548852952,True,True
switchingFree,Cue switching,3,sigma_a2,0.2971478235545124,1353.6258548852952,True,True
switchingFree,Cue switching,3,p_sw2,0.440385794717864,1353.6258548852952,True,True
switchingFree,Cue switching,4,lambda,0.04853868217208493,1355.1454086045562,True,False
switchingFree,Cue switching,4,sigma_a1,0.16596263130863742,1355.1454086045562,True,False
switchingFree,Cue switching,4,sigma_v,0.4245559507499975,1355.1454086045562,True,False
switchingFree,Cue switching,4,p_sw1,0.06187917342779192,1355.1454086045562,True,False
switchingFree,Cue switching,4,sigma_a2,0.42904067665397183,1355.1454086045562,True,False
switchingFree,Cue switching,4,p_sw2,0.3634559214590126,1355.1454086045562,True,False
switchingFree,Cue switching,5,lambda,0.025871528029441815,1353.7122209691183,True,False
switchingFree,Cue switching,5,sigma_a1,0.15413644909858693,1353.7122209691183,True,False
switchingFree,Cue switching,5,sigma_v,0.6117683763098716,1353.7122209691183,True,False
switchingFree,Cue switching,5,p_sw1,0.08759977817535397,1353.7122209691183,True,False
switchingFree,Cue switching,5,sigma_a2,0.38803297779321655,1353.7122209691183,True,False
switchingFree,Cue switching,5,p_sw2,0.3537611722946167,1353.7122209691183,True,False
