,standardDur,audNoise,order,preDur,postDur,isiDur,trial_num,totalDur,delta_dur_percents,deltaDurS,testDurS,intensities,current_stair,responses,is_correct,response_rts,stair_num_reversal,stair_is_reversal,response_keys,conflictDur,recordedOnsetVisualTest,recordedOffsetVisualTest,recordedDurVisualTest,recordedOnsetVisualStandard,recordedOffsetVisualStandard,recordedDurVisualStandard,modalityPostCue
41,0.49991,1.2,2,0.32494,0.27495,0.80818,41,2.63284,0.45,0.22496,0.72486,5,3D1U,2.0,True,0.491,0,False,right,0.0,1.6401,2.3646,0.7245,0.3316,0.8314,0.4997,A
42,0.49991,0.1,1,0.38326,0.25829,0.7332,42,2.63285,0.51,0.25829,0.75819,5,2D1U,1.0,True,0.909,3,True,left,0.0,0.3929,1.1518,0.7589,1.8844,2.3853,0.501,A
43,0.49991,1.2,2,0.44158,0.38326,0.81651,43,2.86612,0.45,0.22496,0.72486,5,3D1U,2.0,True,0.2,0,False,right,0.0,1.767,2.4923,0.7253,0.4505,0.9495,0.4991,A
44,0.49991,0.1,2,0.41659,0.28328,0.71653,44,2.86613,0.9,0.44992,0.94982,5,lapse_rate,2.0,True,5.35,0,False,right,0.0,1.6429,2.5927,0.9498,0.4271,0.9273,0.5002,V
45,0.49991,0.1,2,0.39159,0.22496,0.84151,45,2.19959,-0.51,-0.25829,0.24162,5,3U1D,1.0,True,1.626,1,True,left,0.0,1.7391,1.9814,0.2423,0.398,0.8981,0.5001,A
46,0.49991,1.2,2,0.21663,0.39159,0.56656,46,1.9913,-0.374,-0.1833,0.31661,5,2U1D,2.0,False,0.992,2,True,right,0.0,1.2905,1.6072,0.3168,0.224,0.7238,0.4998,A
47,0.49991,0.1,1,0.26662,0.44992,0.66654,47,2.1746,-0.41,-0.20829,0.29161,5,2U1D,2.0,True,1.525,3,True,right,0.0,0.2727,0.5652,0.2926,1.2317,1.7315,0.4998,V
48,0.49991,1.2,2,0.31661,0.32494,0.87484,48,2.25792,-0.51,-0.25829,0.24162,5,3U1D,1.0,True,0.242,1,True,left,0.0,1.6964,1.9379,0.2415,0.3209,0.8215,0.5005,V
49,0.49991,0.1,1,0.22496,0.22496,0.68321,49,2.39123,0.51,0.25829,0.75819,5,2D1U,2.0,False,0.501,3,True,right,0.0,0.2332,0.9916,0.7584,1.6748,2.1749,0.5001,A
50,0.49991,0.1,2,0.39159,0.34993,0.67487,50,1.96629,-0.9,-0.44992,0.04999,5,lapse_rate,1.0,True,0.284,0,False,left,0.0,1.5743,1.6237,0.0494,0.399,0.8989,0.4999,A
51,0.49991,1.2,2,0.44158,0.31661,0.64155,51,2.57452,0.35,0.17497,0.67487,5,3D1U,2.0,True,0.45,0,False,right,0.0,1.5869,2.2624,0.6755,0.4453,0.9464,0.5012,A
52,0.49991,0.1,2,0.26662,0.39159,0.81651,52,2.6495,0.35,0.17497,0.67487,5,3D1U,2.0,True,0.142,0,False,right,0.0,1.5877,2.2629,0.6752,0.2715,0.7713,0.4998,A
53,0.49991,1.2,2,0.43325,0.38326,0.75819,53,2.84947,0.546,0.27495,0.77486,5,2D1U,1.0,False,0.467,3,False,left,0.0,1.7011,2.4759,0.7747,0.4425,0.9431,0.5006,A
54,0.49991,0.1,2,0.19996,0.20829,0.84151,54,2.04128,-0.41,-0.20829,0.29161,5,2U1D,1.0,True,0.994,3,True,left,0.0,1.547,1.8384,0.2914,0.2054,0.7054,0.5001,V
55,0.49991,0.1,2,0.38326,0.33327,0.82485,55,2.09128,-0.9,-0.44992,0.04999,5,lapse_rate,1.0,True,1.225,0,False,left,0.0,1.7157,1.7665,0.0509,0.3908,0.8905,0.4997,A
56,0.49991,1.2,2,0.26662,0.27495,0.69987,56,2.00797,-0.474,-0.23329,0.26662,5,3U1D,1.0,True,1.242,2,True,left,0.0,1.475,1.7409,0.2659,0.2745,0.7749,0.5004,A
57,0.49991,0.1,1,0.25829,0.25829,0.81651,57,2.50787,0.35,0.17497,0.67487,5,3D1U,2.0,False,1.251,0,False,right,0.0,0.2624,0.9384,0.676,1.7532,2.2533,0.5001,A
58,0.49991,1.2,2,0.29994,0.35827,0.7332,58,1.94131,-0.9,-0.44992,0.04999,5,lapse_rate,1.0,True,1.717,0,False,left,0.0,1.5407,1.5913,0.0506,0.3076,0.8074,0.4998,A
59,0.49991,1.2,2,0.41659,0.3416,0.45825,59,1.98297,-0.474,-0.23329,0.26662,5,3U1D,1.0,True,0.392,2,True,left,0.0,1.3799,1.6464,0.2665,0.4212,0.9222,0.5011,A
60,0.49991,0.1,1,0.44158,0.39993,0.47491,60,2.13294,-0.374,-0.1833,0.31661,5,2U1D,2.0,True,0.15,4,True,right,0.0,0.4462,0.7629,0.3168,1.2377,1.7376,0.5,A
61,0.49991,1.2,1,0.26662,0.24162,0.85817,61,2.65784,0.582,0.29161,0.79152,5,2D1U,1.0,True,0.592,3,False,left,0.0,0.2746,1.066,0.7914,1.9241,2.4246,0.5005,A
62,0.49991,0.1,2,0.34993,0.44992,0.74153,62,2.74949,0.41,0.20829,0.7082,5,3D1U,2.0,True,0.109,1,True,right,0.0,1.6015,2.3096,0.7081,0.3597,0.8598,0.5001,V
63,0.49991,1.2,1,0.39993,0.27495,0.48324,63,1.92465,-0.474,-0.23329,0.26662,5,3U1D,2.0,True,0.334,2,True,right,0.0,0.4043,0.6722,0.2679,1.1546,1.6552,0.5006,V
64,0.49991,1.2,2,0.23329,0.28328,0.48324,64,1.54971,-0.9,-0.44992,0.04999,5,lapse_rate,1.0,True,0.684,0,False,left,0.0,1.2231,1.273,0.0499,0.2396,0.7399,0.5003,V
65,0.49991,0.1,1,0.24162,0.30828,0.72486,65,2.09128,-0.374,-0.1833,0.31661,5,2U1D,2.0,True,0.2,4,True,right,0.0,0.2485,0.5649,0.3164,1.29,1.7895,0.4995,V
66,0.49991,1.2,2,0.3416,0.25829,0.47491,66,2.36623,0.582,0.29161,0.79152,5,2D1U,1.0,False,0.368,3,False,left,0.0,1.3247,2.1149,0.7902,0.3486,0.8493,0.5007,V
67,0.49991,0.1,1,0.39993,0.41659,0.49991,67,2.52454,0.41,0.20829,0.7082,5,3D1U,2.0,False,0.325,1,True,right,0.0,0.4053,1.1129,0.7076,1.6134,2.1128,0.4994,V
68,0.49991,1.2,1,0.27495,0.29161,0.44158,68,1.84132,-0.338,-0.16664,0.33327,5,2U1D,2.0,True,0.758,4,False,right,0.0,0.2806,0.6141,0.3334,1.0557,1.5566,0.5009,A
69,0.49991,0.1,1,0.42492,0.23329,0.80818,69,2.24958,-0.438,-0.21663,0.28328,5,3U1D,2.0,True,1.409,2,False,right,0.0,0.4287,0.7127,0.284,1.5203,2.021,0.5007,V
70,0.49991,1.2,1,0.41659,0.44158,0.48324,70,2.6495,0.618,0.30828,0.80818,5,2D1U,2.0,False,0.752,3,False,right,0.0,0.4226,1.232,0.8095,1.7147,2.2143,0.4996,V
71,0.49991,0.1,2,0.22496,0.42492,0.46658,71,2.56619,0.9,0.44992,0.94982,5,lapse_rate,1.0,False,1.192,0,False,left,0.0,1.1978,2.148,0.9503,0.2316,0.7316,0.5,V
