sigma_a,sigma_v,conflict_max,p_c,lambda,lognorm__vs__fusionOnlyLogNorm,lognorm__vs__switchingFree,lognorm__vs__probabilityMatchingLogNorm,lognorm__vs__selection,fusionOnlyLogNorm__vs__switchingFree,fusionOnlyLogNorm__vs__probabilityMatchingLogNorm,fusionOnlyLogNorm__vs__selection,switchingFree__vs__probabilityMatchingLogNorm,switchingFree__vs__selection,probabilityMatchingLogNorm__vs__selection,mean_pairwise
0.15,0.15,0.167,0.5,0.05,0.055270061728395055,0.059372067901234574,0.02161543209876543,0.10167052469135801,0.06411033950617283,0.053499074074074074,0.11700540123456786,0.04926219135802469,0.05558086419753086,0.09390046296296296,0.06712864197530863
0.15,0.15,0.167,0.7,0.05,0.04004953703703704,0.07782962962962962,0.03415895061728395,0.09457484567901234,0.06542391975308642,0.06966959876543209,0.10596018518518519,0.08982777777777777,0.06683719135802468,0.08340354938271606,0.07277351851851852
0.15,0.15,0.25,0.3,0.05,0.11481805555555556,0.0502679012345679,0.07604104938271604,0.12276111111111113,0.09961219135802471,0.04186743827160494,0.18330015432098762,0.06667592592592593,0.0865848765432099,0.15216419753086421,0.09940929012345678
0.15,0.15,0.25,0.5,0.05,0.09334043209876543,0.0803219135802469,0.04562932098765432,0.1050131172839506,0.08079691358024692,0.06210771604938272,0.12382546296296297,0.06451203703703703,0.05164891975308641,0.09804058641975308,0.08052364197530863
0.15,0.15,0.25,0.7,0.05,0.07202407407407407,0.10616836419753087,0.050012808641975305,0.09436666666666665,0.0798263888888889,0.08289336419753085,0.1044003086419753,0.10946697530864195,0.07043194444444444,0.08787793209876543,0.08574688271604938
0.15,0.15,0.35,0.3,0.05,0.16511234567901234,0.06004645061728395,0.12175833333333333,0.12255879629629629,0.13445725308641976,0.045594135802469134,0.21198194444444443,0.09751280864197531,0.08208117283950617,0.17578225308641976,0.12168854938271603
0.15,0.15,0.35,0.5,0.05,0.14140925925925923,0.09481820987654321,0.08230108024691359,0.11566836419753088,0.1013567901234568,0.06931188271604938,0.13516095679012347,0.08138040123456791,0.04674645061728395,0.11176574074074073,0.09799191358024692
0.15,0.15,0.35,0.7,0.05,0.11698487654320988,0.1313550925925926,0.08253564814814815,0.10864305555555556,0.08528595679012345,0.0935016975308642,0.10731188271604938,0.11482098765432099,0.06688117283950618,0.09820185185185187,0.10055222222222224
0.15,0.15,0.45,0.3,0.05,0.21098209876543209,0.06661141975308642,0.1665314814814815,0.12836141975308643,0.16480154320987653,0.045863888888888885,0.23696635802469138,0.12584567901234567,0.0802574074074074,0.19901327160493826,0.14252345679012343
0.15,0.15,0.45,0.5,0.05,0.18663395061728394,0.1102820987654321,0.1240658950617284,0.1356388888888889,0.11945370370370371,0.06993935185185185,0.14947253086419754,0.09741311728395062,0.05169290123456789,0.12812391975308643,0.11727163580246913
0.15,0.15,0.45,0.7,0.05,0.16269922839506173,0.15450987654320988,0.12447932098765432,0.13571512345679013,0.09084521604938271,0.09524336419753086,0.10966342592592594,0.12539999999999998,0.061181172839506165,0.11361882716049383,0.11733555555555557
